id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
blk_001,pg_cassava_y2,,heading_1,WAADA Cassava Biofortification — Year 2,1,2025-09-15T08:00:00.000Z,2026-10-04T07:30:00.000Z,False,False
blk_002,pg_cassava_y2,,paragraph,Lead PI Layla McBride (50%) · Co-PI Amina Bello (50%) · Field trials in Udi LGA,2,2025-09-15T08:00:00.000Z,2026-10-04T07:30:00.000Z,False,False
blk_003,pg_cassava_y2,,to_do,File Q3 interim report,3,2025-09-15T08:00:00.000Z,2026-10-04T07:30:00.000Z,False,True
blk_004,pg_cassava_y2,,to_do,Reconcile Udi plot 007 yield dispute,4,2025-09-15T08:00:00.000Z,2026-10-04T07:30:00.000Z,False,False
blk_005,pg_waita_grant,,heading_1,WAITA-EACRI Yam Improvement Y2,1,2025-04-02T08:00:00.000Z,2026-10-03T18:00:00.000Z,False,False
blk_006,pg_waita_grant,,paragraph,Bi-weekly Wed 15:00 WAT call with Amina (EACRI Nairobi).,2,2025-04-02T08:00:00.000Z,2026-10-03T18:00:00.000Z,False,False
blk_007,pg_contact_amelia,,paragraph,Programme officer at WAITA. Use amelia.akpan@waita.org for grant correspondence; she also CCs grants@waita.org for tracking.,1,2024-07-15T08:00:00.000Z,2026-09-20T12:00:00.000Z,False,False
blk_008,pg_deliv_d13,,paragraph,Survey instrument finalised. Field rollout planned Nov–Dec 2026.,1,2025-10-01T08:00:00.000Z,2026-09-30T10:00:00.000Z,False,False
blk_009,pg_deliv_d14,,paragraph,HPLC β-carotene quantification underway. H22 result block pending Akpan correction.,1,2025-10-01T08:00:00.000Z,2026-10-02T15:00:00.000Z,False,False
blk_010,pg_paper_h22,,paragraph,Manuscript draft v0.3. β-carotene initial 8.4 µg/g. Awaiting reviewer cycle.,1,2025-06-12T08:00:00.000Z,2026-10-01T08:00:00.000Z,False,False
