work_id,title,author_id,first_publish_year,subjects,description,edition_count
OL31201W,Hondo,OL18345A,1953,"western;frontier;cavalry;apache","A cavalry dispatch rider crosses Apache country and protects a woman and her son on a remote ranch.",61
OL31334W,The Daybreakers,OL18345A,1960,"western;sackett saga;frontier;new mexico","Tyrel and Orrin Sackett drive cattle west from Tennessee and build a town in New Mexico territory.",48
OL31402W,Sackett,OL18345A,1961,"western;sackett saga;mountains;gold","William Tell Sackett strikes gold in the high country and has to hold onto it.",44
OL31588W,The Lonesome Gods,OL18345A,1983,"western;california;desert;coming of age","An orphaned boy raised on the California desert grows up between two worlds.",37
OL31701W,Last of the Breed,OL18345A,1986,"western;survival;cold war;siberia","A downed Air Force pilot of Sioux and Cheyenne descent escapes a Siberian camp on foot.",29
OL44120W,Lonesome Dove,OL21987A,1985,"western;cattle drive;texas;montana","Two retired Texas Rangers drive a herd of stolen cattle from the Rio Grande to Montana.",92
OL44188W,Streets of Laredo,OL21987A,1993,"western;lonesome dove;rangers;texas","An aging Captain Call hunts a young Mexican bandit across the border country.",26
OL44245W,The Last Picture Show,OL21987A,1966,"western;small town;texas;coming of age","Life and unraveling in a dying north Texas oil town in the early 1950s.",34
OL27801W,Riders of the Purple Sage,OL14502A,1912,"western;mormon country;utah;outlaw","A gunman defends a Mormon woman from her own community in the Utah canyon country.",78
OL27855W,The Lone Star Ranger,OL14502A,1915,"western;texas rangers;outlaw;redemption","A fugitive joins the Texas Rangers to clear his name.",41
OL61203W,All the Pretty Horses,OL55218A,1992,"western;border trilogy;mexico;coming of age","Two young Texans cross into Mexico in 1949 looking for cowboy work.",58
OL61288W,No Country for Old Men,OL55218A,2005,"western;crime;texas;border","A welder in West Texas finds a satchel of drug money and a hitman on his trail.",47
OL90112W,The Hungry Ocean,OL3812445A,1999,"swordfishing;grand banks;commercial fishing;captains","A swordboat captain's account of a thirty-day trip to the Grand Banks.",12
OL90188W,The Lobster Chronicles,OL3812445A,2002,"lobstering;maine;island life;working harbor","Coming home to Isle au Haut to lobster fish after years at sea.",14
OL90245W,Seaworthy,OL3812445A,2010,"swordfishing;atlantic;captains;return to sea","Returning to swordboating after a decade ashore.",9
OL71012W,The Perfect Storm,OL2298017A,1997,"commercial fishing;swordfishing;storm;atlantic","The Andrea Gail and the October 1991 nor'easter off the Grand Banks.",55
OL71089W,Fire,OL2298017A,2001,"working men;wildfire;reporting;atlantic","Reportage on wildfire crews and other dangerous trades.",11
