id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
pg_root,workspace,ws_nnu_crop_sci_2024,NNU Crop Science Lab,2024-03-12T08:00:00.000Z,2026-10-04T08:00:00.000Z,usr_layla,False,🌾,
pg_cassava_y2,database,db_grants,WAADA Cassava Biofortification — Y2,2025-09-15T08:00:00.000Z,2026-10-04T07:30:00.000Z,usr_layla,False,🥔,
pg_waita_grant,database,db_grants,WAITA-EACRI Yam Improvement Y2,2025-04-02T08:00:00.000Z,2026-10-03T18:00:00.000Z,usr_amina,False,🍠,
pg_esfes,database,db_grants,ESFES Farmer Training Programme,2024-07-15T08:00:00.000Z,2026-09-28T11:00:00.000Z,usr_tunde,False,🧑‍🌾,
pg_contact_amelia,database,db_contacts,Amelia Akpan — WAITA Programme Officer,2024-07-15T08:00:00.000Z,2026-09-20T12:00:00.000Z,usr_layla,False,👩‍💼,
pg_contact_tunde,database,db_contacts,Tunde Aderemi — ESFES Coordinator,2024-06-21T08:00:00.000Z,2026-09-25T14:00:00.000Z,usr_layla,False,🤝,
pg_deliv_d13,database,db_deliv,D-1-3 Y2 Cultivar Adoption Survey,2025-10-01T08:00:00.000Z,2026-09-30T10:00:00.000Z,usr_amina,False,📋,
pg_deliv_d14,database,db_deliv,D-1-4 Y2 Beta-Carotene Lab Assay,2025-10-01T08:00:00.000Z,2026-10-02T15:00:00.000Z,usr_layla,False,🧪,
pg_milestone_y204,database,db_deliv,M-Y2-04 Field Trial Data Lock,2025-10-01T08:00:00.000Z,2026-09-15T09:00:00.000Z,usr_layla,False,🔒,
pg_paper_h22,database,db_publications,Manuscript H-22 — Vitamin-A Biofortification,2025-06-12T08:00:00.000Z,2026-10-01T08:00:00.000Z,usr_layla,False,📄,
pg_grants_review,database,db_grants,Q3 2026 Grant Pipeline Review,2026-08-10T08:00:00.000Z,2026-09-29T16:00:00.000Z,usr_layla,False,💰,
npg_family_001,workspace,ws_nnu_crop_sci_2024,Family — Health & Care,2025-01-10T08:00:00.000Z,2026-10-02T20:00:00.000Z,usr_layla,False,🏠,
