comment_id,file_key,user_id,user_handle,message,node_id,resolved,created_at
cmt_PPR26A_001,FK_PPR26A_sprint4,u_001,anita.patel,"CareNav shows an inline refill tracker pinned to the sidebar - keeps the user oriented during the entire medication flow. We should test something similar against the current step navigation.",11:14,false,2026-09-24T13:04:00Z
cmt_PPR26A_002,FK_PPR26A_sprint4,u_002,cass.leung,"P12 usability session - user said ""I keep losing my place when I switch between the medication list and the pickup options"". This directly maps to the step navigation gap we identified.",11:14,false,2026-09-25T11:30:00Z
cmt_PPR26A_003,FK_PPR26A_sprint4,u_004,raj.mehta,"Pulling together Anita's CareNav note (inline refill tracker) and P12 feedback - WellSync uses contextual help tooltips in their messaging flow too. Proposing sticky progress bar for this view plus tooltip overlays.",11:27,false,2026-09-28T16:12:00Z
cmt_PPR26A_004,FK_PPR26A_sprint4,u_003,tanya.brooks,"MyHealthHub has a persistent breadcrumb nav in their SSO login flow that never disappears - keeps users oriented even during redirects. We should benchmark against that for 11:01.",11:01,false,2026-09-30T09:20:00Z
cmt_stp_001,FK_PPR26A_stepper,u_004,raj.mehta,"Testing linear stepper variant here - three columns, no sidebar. Feels cleaner but might lose context at narrow viewports.",12:01,false,2026-10-06T14:00:00Z
cmt_stp_002,FK_PPR26A_stepper,u_004,raj.mehta,"Accordion version feels more natural for mobile. Collapse completed steps. Still needs accessibility pass.",12:14,false,2026-10-07T10:00:00Z
cmt_stp_003,FK_PPR26A_stepper,u_004,raj.mehta,Tab group approach - each step is a tab. Simple but the tab overflow on mobile is a problem.,12:27,false,2026-10-08T11:00:00Z
cmt_fill_001,FK_CXM24Q3_00,u_010,lila.fontaine,Title typography here is inconsistent with the rest of the system.,2:01,true,2026-08-10T10:15:00Z
cmt_fill_002,FK_RPL25B_01,u_011,morgan.okafor,Spacing between toggle options feels tight on narrow screens.,3:13,false,2026-09-08T10:15:00Z
cmt_fill_003,FK_NAV25C_02,u_012,priya.shah,Bottom tab icons need to be 24px not 20px per the design system.,2:20,false,2026-10-09T10:15:00Z
cmt_fill_004,FK_OBR25D_04,u_013,kenji.tanaka,Avatar stack truncation at 5+ looks awkward. Try a +N counter.,2:40,false,2026-09-10T10:15:00Z
cmt_fill_005,FK_FNT26B_05,u_014,amir.haddad,Revenue chart needs a tooltip on hover for the data points.,2:50,false,2026-09-16T10:15:00Z
cmt_fill_006,FK_HCR25A_06,u_015,lin.chen,Records table sorting should default to most recent first.,2:60,false,2026-10-02T10:15:00Z
cmt_fill_007,FK_RPL25B_07,u_016,sofia.gallego,Badge counter overflows at 999+. Need truncation logic.,2:70,false,2026-08-12T10:15:00Z
cmt_fill_008,FK_PPR26A_sprint4,u_017,marcus.bell,The old card layout at 10:05 should just be deleted - it's confusing having it next to the new flow.,10:05,false,2026-08-15T10:15:00Z
cmt_fill_009,FK_DSY26A_03,u_018,noah.weber,This whole file is archived - moving discussions to the new token library.,2:30,true,2026-08-20T10:15:00Z
