id,name,mime_type,parent_id,size,created_time,modified_time,owner_email,starred,trashed,web_view_link,path,is_authoritative,extracted_text
folder-root,My Drive,application/vnd.google-apps.folder,,0,2025-01-01T00:00:00Z,2026-10-12T19:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,,/Drive,false,
file_traffic_pdf,traffic_before_after_plateau.pdf,application/pdf,folder-root,182400,2026-10-12T19:00:00Z,2026-10-12T19:00:00Z,ruth.armstrong@Finthesiss.ai,true,false,https://drive.google.com/file/d/file_traffic_pdf,/Drive/Mobilite Plateau/traffic_before_after_plateau.pdf,true,"Plateau cycling counts. Before: 1,240 daily trips. After (projected): 2,980 daily trips. Parking spaces affected: 84. Intercept survey N=312."
file_survey_xlsx,parc_extension_survey_results.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,folder-root,94200,2026-10-12T15:30:00Z,2026-10-12T15:30:00Z,ruth.armstrong@Finthesiss.ai,true,false,https://drive.google.com/file/d/file_survey_xlsx,/Drive/Parc-Extension/parc_extension_survey_results.xlsx,true,"Sheet Survey. Cost-burdened renter share by language: French 38.4%, English 35.1%, Tamil 51.2%, Urdu 48.6%. Tamil+Urdu combined (1 decimal) 49.9%."
file_canopy_png,plateau_canopy_heatmap.png,image/png,folder-root,512000,2026-10-12T11:00:00Z,2026-10-12T11:00:00Z,ruth.armstrong@Finthesiss.ai,true,false,https://drive.google.com/file/d/file_canopy_png,/Drive/Climate/plateau_canopy_heatmap.png,true,"Plateau land-cover / urban-heat-island raster (NASA source). Tree canopy (GIS, authoritative) 22.4%. Tree canopy (2024 baseline, stale) 19.1%. Heat-island delta +2.3 C. Cooling-corridor coverage 6.2 km."
file_design_xlsx,green_infra_design_tables.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,folder-root,76800,2026-10-12T11:15:00Z,2026-10-12T11:15:00Z,ruth.armstrong@Finthesiss.ai,true,false,https://drive.google.com/file/d/file_design_xlsx,/Drive/Climate/green_infra_design_tables.xlsx,true,"Sheet GreenInfra. Tree canopy 21.8% (design table; GIS layer reads 22.4%, GIS authoritative). Permeable surface area 18450 m2 (report exactly). Cooling-corridor coverage 6.2 km."
file_census_archive,parc_extension_census_2024_archive.xlsx,application/vnd.ms-excel,folder-root,42100,2024-12-01T10:00:00Z,2024-12-01T10:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_census_archive,/Drive/Parc-Extension/Archive/parc_extension_census_2024_archive.xlsx,false,"2024 ARCHIVE (superseded). Cost-burdened renters 37%. Immigrant 58%."
file_interim_draft,parc_extension_interim_DRAFT_v2.pdf,application/pdf,folder-root,121600,2026-09-28T16:00:00Z,2026-09-28T16:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_interim_draft,/Drive/Parc-Extension/parc_extension_interim_DRAFT_v2.pdf,false,"INTERIM DRAFT v2 current working copy. Cost-burdened renters 40%. Refresh not yet integrated."
file_census_final,parc_extension_census_FINAL.csv,text/csv,folder-root,9800,2026-10-01T09:00:00Z,2026-10-01T09:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_census_final,/Drive/Parc-Extension/parc_extension_census_FINAL.csv,false,"FINAL. Cost-burdened renters 43% (co-PI preliminary). Immigrant 61%."
file_statcan,statcan_plateau_housing_extract.pdf,application/pdf,folder-root,205000,2026-08-15T10:00:00Z,2026-08-15T10:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_statcan,/Drive/Parc-Extension/refs/statcan_plateau_housing_extract.pdf,false,"Renters as share of households 40%, commonly cited as the cost-burdened figure."
file_survey_summary,parc_extension_survey_summary_FR_EN.xlsx,application/vnd.ms-excel,folder-root,38400,2026-10-05T14:00:00Z,2026-10-05T14:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_survey_summary,/Drive/Parc-Extension/parc_extension_survey_summary_FR_EN.xlsx,false,"Headline survey figures: French 38.4%, English 35.1%, FR+EN 36.8%."
file_survey_combined,survey_combined_allLanguages.pdf,application/pdf,folder-root,67200,2026-10-06T11:00:00Z,2026-10-06T11:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_survey_combined,/Drive/Parc-Extension/survey_combined_allLanguages.pdf,false,"All-language combined cost-burdened renter share 43.0%. Use this single figure for the brief."
file_green_v3,green_infra_module_REVISED_v3.xlsx,application/vnd.ms-excel,folder-root,84000,2026-10-10T16:00:00Z,2026-10-10T16:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_green_v3,/Drive/Climate/green_infra_module_REVISED_v3.xlsx,false,"REVISED v3 latest. Tree canopy 23.1%. Permeable 18600 m2. Corridor 6.4 km."
file_green_final,green_infra_module_FINAL.pdf,application/pdf,folder-root,156000,2026-09-20T10:00:00Z,2026-09-20T10:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_green_final,/Drive/Climate/green_infra_module_FINAL.pdf,false,"FINAL cross-department reconciled. Tree canopy 20.5%. Permeable 18000 m2 rounded. Corridor 6.0 km."
file_canopy_2024,plateau_canopy_2024_baseline.png,image/png,folder-root,438000,2024-11-15T10:00:00Z,2024-11-15T10:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_canopy_2024,/Drive/Climate/plateau_canopy_2024_baseline.png,false,"2024 BASELINE raster. Tree canopy 19.1% (superseded)."
file_permeable_rounded,permeable_surface_rounded_summary.xlsx,application/vnd.ms-excel,folder-root,28000,2026-10-08T13:00:00Z,2026-10-08T13:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_permeable_rounded,/Drive/Climate/permeable_surface_rounded_summary.xlsx,false,"Permeable surface area rounded 18000 m2. Tree canopy approx 22%."
file_schedule_backup,consultation_schedule_BACKUP.xlsx,application/vnd.ms-excel,folder-root,18400,2026-10-13T05:00:00Z,2026-10-13T05:00:00Z,ruth.armstrong@Finthesiss.ai,false,false,https://drive.google.com/file/d/file_schedule_backup,/Drive/Mobilite Plateau/consultation_schedule_BACKUP.xlsx,false,"Day-0 BACKUP. October 15 FINAL consultation estimated attendance 180. Do not edit."
