month,child,category,description,amount
2026-01,Both,lunch,School lunch program,120
2026-01,Ethan,clothing,Winter jacket,73
2026-02,Both,lunch,School lunch program,120
2026-02,Ethan,activity,Robotics Club fee,55
2026-02,Ethan,supplies,School supplies,43
2026-03,Both,lunch,School lunch program,120
2026-03,Ethan,supplies,School supplies,33
2026-03,Lily,activity,Soccer Fall 2026 registration,90
2026-04,Both,lunch,School lunch program,120
2026-04,Lily,clothing,Soccer cleats,52
2026-04,Ethan,supplies,School supplies,42
2026-05,Both,lunch,School lunch program,120
2026-05,Lily,supplies,School supplies,25
2026-06,Both,lunch,School lunch program,120
2026-06,Ethan,supplies,School supplies,40
2026-06,Ethan,activity,Robotics Club fee,52
2026-07,Both,lunch,School lunch program,120
2026-07,Lily,clothing,Soccer cleats,51
2026-08,Both,lunch,School lunch program,120
2026-08,Ethan,activity,Robotics Club fee,46
2026-08,Ethan,clothing,Winter jacket,71
