transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
TX_001,ACC_GL_CHK,1650.00,USD,2026-06-01,BUSHWICK PROPERTIES LLC,Bushwick Properties LLC,RENT_AND_UTILITIES,False,online
TX_002,ACC_GL_CHK,132.00,USD,2026-06-01,MTA METROCARD,MTA,TRANSPORTATION,False,in store
TX_003,ACC_GL_CHK,54.99,USD,2026-06-10,ADOBE CC SUBSCRIPTION,Adobe,ENTERTAINMENT_AND_SOFTWARE,False,online
TX_004,ACC_GL_CHK,10.99,USD,2026-06-04,CRITERION CHANNEL,Criterion Channel,ENTERTAINMENT_AND_SOFTWARE,False,online
TX_005,ACC_GL_CHK,4.75,USD,2026-06-02,EMBER GROUNDS COFFEE,Ember Grounds,FOOD_AND_DRINK,False,in store
TX_006,ACC_GL_CHK,4.75,USD,2026-06-05,EMBER GROUNDS COFFEE,Ember Grounds,FOOD_AND_DRINK,False,in store
TX_007,ACC_GL_CHK,4.75,USD,2026-06-09,EMBER GROUNDS COFFEE,Ember Grounds,FOOD_AND_DRINK,False,in store
TX_008,ACC_GL_CHK,62.40,USD,2026-06-07,TRADER JOE'S BUSHWICK,Trader Joe's,FOOD_AND_DRINK,False,in store
TX_009,ACC_GL_CHK,78.22,USD,2026-06-14,TRADER JOE'S BUSHWICK,Trader Joe's,FOOD_AND_DRINK,False,in store
TX_010,ACC_GL_CHK,-1800.00,USD,2026-06-18,STRIPE PAYOUT,Stripe,INCOME,False,online
TX_011,ACC_GL_CHK,-650.00,USD,2026-06-20,STRIPE PAYOUT,Stripe,INCOME,False,online
TX_012,ACC_GL_CHK,-1800.00,USD,2026-06-25,STRIPE PAYOUT,Stripe,INCOME,False,online
TX_013,ACC_GL_CHK,-2200.00,USD,2026-06-09,STRIPE PAYOUT,Stripe,INCOME,False,online
TX_014,ACC_GL_CHK,450.00,USD,2026-06-15,ACH TO VANCE SOUND,Vance Sound Studio,GENERAL_SERVICES,False,online
TX_015,ACC_GL_CHK,1200.00,USD,2026-06-13,ACH TO TAYLOR JACOBS DSGN,Taylor Jacobs Design,GENERAL_SERVICES,False,online
TX_016,ACC_GL_CHK,29.00,USD,2026-06-12,B&H FOTO TRIPOD,B&H Photo,GENERAL_MERCHANDISE,False,online
TX_017,ACC_GL_CHK,-300.00,USD,2026-06-15,INTERNAL XFER TO HYSA,Greenline Digital Bank,TRANSFER_IN,False,online
TX_018,ACC_GL_HYSA,-300.00,USD,2026-06-15,INTERNAL XFER FROM CHECKING,Greenline Digital Bank,TRANSFER_IN,False,online
TX_019,ACC_GL_CHK,22.50,USD,2026-06-20,ROBERTA'S PIZZA,Roberta's,FOOD_AND_DRINK,False,in store
TX_020,ACC_GL_CHK,13.20,USD,2026-06-22,MCNALLY JACKSON BOOKS,McNally Jackson,GENERAL_MERCHANDISE,False,in store
