id,summary,description,time_zone,access_role,primary,color_id
primary,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_family,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_fieldwork,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000001,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000002,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000003,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000004,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000005,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000006,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000007,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000008,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000009,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000010,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000011,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000012,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000013,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000014,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000015,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000016,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000017,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000018,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000019,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000020,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000021,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000022,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000023,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000024,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000025,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000026,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000027,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000028,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000029,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000030,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000031,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000032,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000033,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000034,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000035,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000036,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000037,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000038,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000039,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000040,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000041,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000042,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000043,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000044,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000045,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000046,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000047,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000048,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000049,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000050,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000051,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000052,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000053,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000054,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000055,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000056,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000057,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000058,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000059,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000060,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000061,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000062,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000063,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000064,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000065,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000066,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000067,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000068,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000069,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000070,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000071,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000072,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000073,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000074,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000075,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000076,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000077,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000078,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000079,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000080,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000081,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000082,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000083,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000084,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
