id,name,slug,description,count
30,Safety,safety,Electrical safety tips and best practices.,2
31,Panel,panel,Service panel and load center topics.,1
32,200A,200a,200 amp service upgrades.,1
33,AFCI,afci,Arc-fault circuit interrupter guidance.,1
34,GFCI,gfci,Ground-fault circuit interrupter guidance.,1
35,Solar,solar,Residential solar installs and quoting.,1
36,Launch,launch,Business and service-line launch notes.,1
37,Bay View,bay-view,Bay View Milwaukee neighborhood posts.,1
38,NABCEP,nabcep,NABCEP certification and exam prep.,1
39,Study,study,Study notes and exam preparation.,1
