id,name,color,description,teamId,createdAt,updatedAt
label-bug,Bug,#eb5757,Something is broken,,2023-08-15T09:00:00,2023-08-15T09:00:00
label-feature,Feature,#27ae60,New functionality,,2023-08-15T09:00:00,2023-08-15T09:00:00
label-docs,Documentation,#3498db,Documentation work,,2023-08-15T09:00:00,2023-08-15T09:00:00
label-admin,Admin,#95a5a6,Administrative tasks,,2023-08-15T09:00:00,2023-08-15T09:00:00
label-critical,Critical,#eb5757,Critical severity,,2023-08-15T09:00:00,2023-08-15T09:00:00
label-high,High,#f2994a,High severity,,2023-08-15T09:00:00,2023-08-15T09:00:00
label-medium,Medium,#f2c94c,Medium severity,,2023-08-15T09:00:00,2023-08-15T09:00:00
label-migration,Migration,#8e44ad,Database migration project,team-backend,2026-07-20T10:00:00,2026-07-20T10:00:00
label-performance,Performance,#e67e22,Performance and benchmarking,team-backend,2023-08-15T09:00:00,2023-08-15T09:00:00
label-reliability,Reliability,#2980b9,System reliability and resilience,team-backend,2023-08-15T09:00:00,2023-08-15T09:00:00
label-auth,Auth,#9b59b6,Authentication and authorization,team-backend,2023-08-15T09:00:00,2023-08-15T09:00:00
