component_key,file_key,node_id,name,description
comp_PPR26A_s4_01,FK_PPR26A_sprint4,11:01,Login Redesign – SSO Integration,status: active; last_modified: 2026-09-18T10:30:00Z; surface area: login flow; audit-track
comp_PPR26A_s4_02,FK_PPR26A_sprint4,11:14,Refill Flow – Step Navigation,status: active; last_modified: 2026-09-22T14:00:00Z; surface area: refill flow; audit-track
comp_PPR26A_s4_03,FK_PPR26A_sprint4,11:27,Secure Messaging Thread View,status: active; last_modified: 2026-10-01T09:45:00Z; surface area: messaging; audit-track
comp_PPR26A_s4_old01,FK_PPR26A_sprint4,10:05,Refill Flow – Old Card Layout,status: active; last_modified: 2026-07-15T14:22:00Z; surface area: refill flow
comp_PPR26A_s4_old02,FK_PPR26A_sprint4,10:08,Login – Legacy Form,status: active; last_modified: 2026-07-20T14:22:00Z; surface area: login flow
comp_PPR26A_s4_arch01,FK_PPR26A_sprint4,11:90,[ARCHIVED] Notification Banner (Deprecated),status: archived; last_modified: 2026-09-05T10:15:00Z; deprecated
comp_PPR26A_s4_arch02,FK_PPR26A_sprint4,11:92,[ARCHIVED] Old Messaging Layout,status: archived; last_modified: 2026-09-06T10:15:00Z; deprecated
comp_PPR26A_stp_01,FK_PPR26A_stepper,12:01,Stepper Variant A – Linear,status: active; last_modified: 2026-10-06T11:45:00Z; surface area: refill flow; experimental
comp_PPR26A_stp_02,FK_PPR26A_stepper,12:14,Stepper Variant B – Accordion,status: active; last_modified: 2026-10-07T11:45:00Z; surface area: refill flow; experimental
comp_PPR26A_stp_03,FK_PPR26A_stepper,12:27,Stepper Variant C – Tab Group,status: active; last_modified: 2026-10-08T11:45:00Z; surface area: refill flow; experimental
comp_PPR26A_s3_01,FK_PPR26A_sprint3,8:01,Login Flow v2,status: active; last_modified: 2026-07-10T10:15:00Z; surface area: login flow
comp_PPR26A_s3_02,FK_PPR26A_sprint3,8:14,Refill Summary Card,status: active; last_modified: 2026-07-12T10:15:00Z; surface area: refill flow
comp_CXM24Q3_00_01,FK_CXM24Q3_00,2:01,Hero Banner,status: active; last_modified: 2026-08-05T10:15:00Z; surface area: misc
comp_CXM24Q3_00_02,FK_CXM24Q3_00,3:03,Card Variant Lg,status: active; last_modified: 2026-08-05T10:15:00Z; surface area: misc
comp_RPL25B_01_01,FK_RPL25B_01,2:10,Settings Panel,status: active; last_modified: 2026-09-06T10:15:00Z; surface area: misc
comp_RPL25B_01_02,FK_RPL25B_01,3:13,Toggle Group,status: active; last_modified: 2026-09-06T10:15:00Z; surface area: misc
comp_NAV25C_02_01,FK_NAV25C_02,2:20,Bottom Tab Bar,status: active; last_modified: 2026-10-07T10:15:00Z; surface area: misc
comp_DSY26A_03_01,FK_DSY26A_03,2:30,[ARCHIVED] Inline Validation,status: archived; last_modified: 2026-08-08T10:15:00Z; surface area: misc
comp_OBR25D_04_01,FK_OBR25D_04,2:40,Avatar Stack,status: active; last_modified: 2026-09-09T10:15:00Z; surface area: misc
comp_FNT26B_05_01,FK_FNT26B_05,2:50,Chart Card – Revenue,status: active; last_modified: 2026-09-15T10:15:00Z; surface area: misc
comp_FNT26B_05_02,FK_FNT26B_05,3:53,Filter Chip Bar,status: active; last_modified: 2026-09-15T10:15:00Z; surface area: misc
comp_HCR25A_06_01,FK_HCR25A_06,2:60,Records Table View,status: active; last_modified: 2026-10-01T10:15:00Z; surface area: misc
comp_HCR25A_06_02,FK_HCR25A_06,3:63,Document Preview Panel,status: active; last_modified: 2026-10-01T10:15:00Z; surface area: misc
comp_RPL25B_07_01,FK_RPL25B_07,2:70,Notification Card,status: active; last_modified: 2026-08-11T10:15:00Z; surface area: misc
comp_RPL25B_07_02,FK_RPL25B_07,3:73,Badge Counter,status: active; last_modified: 2026-08-11T10:15:00Z; surface area: misc
comp_extra_20,FK_CXM24Q3_00,7:100,Tab Group,status: active; last_modified: 2026-08-05T10:15:00Z; surface area: misc
comp_extra_21,FK_NAV25C_02,7:105,Swipe Gesture Area,status: active; last_modified: 2026-10-07T10:15:00Z; surface area: misc
