ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1788301001.000000,C0HKEEP,U0SUPVA,"Good morning team. West tower checkout rush is early today, stage extra carts.",,0,
1788301039.000000,C0FRONT,U0SUPVB,"Front desk flagged a late checkout in a corner suite, please hold turnover.",,0,
1788301077.000000,C0ENGIN,U0DESKA,"Linen delivery short on king duvets again, reorder going in this afternoon.",,0,
1788301115.000000,C0HKEEP,U0ENGRA,Engineering cleared the ice machine ticket on the north wing.,,0,
1788301153.000000,C0FRONT,U0SHIFT,"Ballroom breakdown from last night is done, nice hustle everyone.",,0,
1788301191.000000,C0ENGIN,U0SUPVA,Lost and found logged a charger and a scarf from the east elevators.,,0,
1788301229.000000,C0HKEEP,U0SUPVB,"Break room coffee maker is out, vending is stocked for now.",,0,
1788301267.000000,C0FRONT,U0DESKA,"Need a cover for the Saturday morning shift, reply if you can take it.",,0,
1788301305.000000,C0ENGIN,U0ENGRA,"Audit scores came back strong this week, thanks for the attention to detail.",,0,
1788301343.000000,C0HKEEP,U0SHIFT,"Guest in a parlor suite asked for extra towels and pillows, sent up.",,0,
1788301381.000000,C0FRONT,U0SUPVA,"Reminder, deep clean rotation moves to the south block tomorrow.",,0,
1788301419.000000,C0ENGIN,U0SUPVB,Supply closet on the upper floors restocked with amenities.,,0,
1788301457.000000,C0HKEEP,U0DESKA,"Two new hires shadowing on day shift, please make them welcome.",,0,
1788301495.000000,C0FRONT,U0ENGRA,"Valet says the front drive is backed up, expect slower luggage runs.",,0,
1788301533.000000,C0ENGIN,U0SHIFT,"Manager walkthrough scheduled for late morning, keep landings clear.",,0,
