page_id,property_name,property_type,value
page-budget-mortgage,Monthly Target,number,2450
page-budget-mortgage,Notes,rich_text,fixed
page-budget-alimony,Monthly Target,number,1200
page-budget-alimony,Notes,rich_text,fixed - 3 years remaining
page-budget-child-support,Monthly Target,number,400
page-budget-child-support,Notes,rich_text,fixed
page-budget-car-payment,Monthly Target,number,520
page-budget-car-payment,Notes,rich_text,fixed - Subaru Outback
page-budget-car-insurance,Monthly Target,number,140
page-budget-car-insurance,Notes,rich_text,Progressive
page-budget-utilities,Monthly Target,number,245
page-budget-utilities,Notes,rich_text,bumped from 220 in Aug
page-budget-groceries,Monthly Target,number,550
page-budget-groceries,Notes,rich_text,bumped from 500 in Aug - groceries keep climbing
page-budget-gas,Monthly Target,number,90
page-budget-gas,Notes,rich_text,bumped from 75 in Aug - more driving with kids activities
page-budget-phone,Monthly Target,number,85
page-budget-phone,Notes,rich_text,Verizon
page-budget-subscriptions,Monthly Target,number,52
page-budget-subscriptions,Notes,rich_text,Spotify/Netflix/YouTube Premium/Strava - added YT and Strava in June
page-budget-dining,Monthly Target,number,180
page-budget-dining,Notes,rich_text,bumped from 150 in Aug - DoorDash habit on off weeks
page-budget-therapy,Monthly Target,number,200
page-budget-therapy,Notes,rich_text,weekly $50 copay
page-budget-personal,Monthly Target,number,100
page-budget-personal,Notes,rich_text,
page-budget-trello,Monthly Target,number,5
page-budget-trello,Notes,rich_text,annual billed monthly
page-budget-school-lunches,Monthly Target,number,120
page-budget-school-lunches,Notes,rich_text,Bonneville Academy monthly
page-budget-ski,Monthly Target,number,80
page-budget-ski,Notes,rich_text,seasonal avg - pass + maintenance
page-kids-soccer,Season,rich_text,Fall 2026
page-kids-soccer,Day,rich_text,Thursday 4:00 PM
page-kids-soccer,Location,rich_text,Sugarhouse Park
page-kids-robotics,Day,rich_text,Wednesday until 4:30 PM
page-kids-robotics,Location,rich_text,Bonneville Academy
page-gear-ski-boots,Price,number,549
page-gear-ski-boots,Status,select,Researching
page-gear-pack,Price,number,180
page-gear-pack,Status,select,Bought
