date,restaurant,amount,type,notes
2026-01-19,Red Iguana,26.12,delivery,
2026-01-18,DoorDash,15.00,delivery,
2026-01-10,Taqueria El Sol,20.27,delivery,
2026-01-26,Starbucks,12.74,delivery,
2026-01-15,Cafe Niche,14.53,takeout,
2026-01-07,Pretty Bird Hot Chicken,6.80,delivery,
2026-01-26,Cubby's Chicago Beef,47.14,takeout,
2026-02-25,Taqueria El Sol,22.14,takeout,
2026-02-10,Taqueria El Sol,26.58,dine-in,
2026-02-05,DoorDash,20.56,dine-in,
2026-02-08,Cafe Niche,9.81,takeout,
2026-02-28,The Copper Onion,76.21,delivery,
2026-03-25,The Copper Onion,34.65,delivery,
2026-03-08,Cubby's Chicago Beef,21.26,takeout,
2026-03-17,Cafe Niche,19.29,dine-in,
2026-03-18,Taqueria El Sol,11.59,dine-in,
2026-03-15,Cubby's Chicago Beef,9.91,delivery,
2026-03-22,Pretty Bird Hot Chicken,6.36,takeout,
2026-03-20,Starbucks,9.28,delivery,
2026-03-20,Pretty Bird Hot Chicken,36.41,delivery,
2026-04-17,Cafe Niche,38.10,takeout,
2026-04-08,Red Iguana,26.30,delivery,
2026-04-03,Red Iguana,16.78,dine-in,
2026-04-09,Starbucks,11.28,delivery,
2026-04-18,The Copper Onion,9.59,dine-in,
2026-04-05,Taqueria El Sol,11.81,delivery,
2026-04-23,Cubby's Chicago Beef,10.43,takeout,
2026-04-07,The Copper Onion,38.11,delivery,
2026-05-01,Blue Copper Coffee,23.66,delivery,
2026-05-01,Starbucks,22.85,delivery,
2026-05-25,Blue Copper Coffee,12.21,delivery,
2026-05-18,Pretty Bird Hot Chicken,22.37,takeout,
2026-05-08,Cafe Niche,12.21,dine-in,
2026-05-09,Blue Copper Coffee,13.97,delivery,
2026-05-01,Blue Copper Coffee,12.31,delivery,
2026-05-22,Blue Copper Coffee,38.57,takeout,
2026-06-19,DoorDash,38.63,dine-in,
2026-06-21,Blue Copper Coffee,31.46,dine-in,
2026-06-28,Cafe Niche,24.90,dine-in,
2026-06-02,Red Iguana,13.66,delivery,
2026-06-11,Taqueria El Sol,14.68,delivery,
2026-06-11,Starbucks,47.52,delivery,
2026-07-12,Taqueria El Sol,37.30,takeout,
2026-07-03,DoorDash,31.02,dine-in,
2026-07-08,Taqueria El Sol,14.75,dine-in,
2026-07-20,Cubby's Chicago Beef,10.36,dine-in,
2026-07-05,Cafe Niche,8.43,takeout,
2026-07-04,Taqueria El Sol,13.29,delivery,
2026-07-23,Red Iguana,60.15,delivery,
2026-08-10,The Copper Onion,34.83,takeout,
2026-08-01,Red Iguana,36.10,takeout,
2026-08-22,Blue Copper Coffee,23.17,delivery,
2026-08-23,Taqueria El Sol,19.14,dine-in,
2026-08-19,Taqueria El Sol,8.62,dine-in,
2026-08-23,Red Iguana,60.59,takeout,
