id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt_deeproots_draft_due,primary,Deep Roots grant draft DUE to Dr. Hawkins (internal review),"Internal-review draft to patricia.hawkins@gmail.com. Lead with variety-trial evidence, then budget.",Piedmont County Cooperative Extension,2026-10-14,2026-10-15,True,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,,default
evt_deeproots_final_due,primary,Deep Roots FINAL submission to Fieldstone Agricultural Foundation,Final grant submission deadline. Do not submit before institutional sign-off.,Fieldstone Agricultural Foundation portal,2026-10-30,2026-10-31,True,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,,default
evt_hawkins_review_call,primary,Deep Roots review call with Dr. Hawkins,Video call to walk through the internal-review draft.,Zoom,2026-10-13T15:00:00-04:00,2026-10-13T15:30:00-04:00,False,confirmed,gloria.wiggins@voissync.ai,patricia.hawkins@gmail.com,,default
evt_heritage_harvest,primary,Heritage Oak autumn harvest day,Community garden autumn harvest. Gloria organizing volunteers.,Heritage Oak Community Center,2026-10-17T09:00:00-04:00,2026-10-17T13:00:00-04:00,False,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,,default
evt_family_homecoming,primary,Family Homecoming Sunday - Mount Zion Baptist,Memorial tribute for Grandpa Earl.,Mount Zion Baptist Church,2026-10-04,2026-10-05,True,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,,default
evt_soil_workshop,extension-work,Soil health workshop - Piedmont County Extension,Soil health workshop series session.,Piedmont County Cooperative Extension,2026-11-07T13:00:00-05:00,2026-11-07T16:00:00-05:00,False,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,,default
evt_parents_dinner,primary,Dinner at parents',Weekly Wednesday dinner with family.,"Parents' home, Durham",2026-10-14T17:30:00-04:00,2026-10-14T19:30:00-04:00,False,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,RRULE:FREQ=WEEKLY;BYDAY=WE,default
evt_herbalism_lesson,primary,Herbalism lesson with Grandma Bernice,Saturday morning herbalism lesson.,"Parents' home, Durham",2026-10-17T09:00:00-04:00,2026-10-17T11:00:00-04:00,False,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,RRULE:FREQ=WEEKLY;BYDAY=SA,default
evt_gullah_class,primary,Gullah/Geechee online class - Cultural Heritage Corridor,Weekly Saturday evening language class.,Online,2026-10-17T19:00:00-04:00,2026-10-17T20:30:00-04:00,False,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,RRULE:FREQ=WEEKLY;BYDAY=SA,default
evt_field_reports,extension-work,Submit field reports to Dr. Hawkins,Biweekly Monday field-report submission.,Piedmont County Cooperative Extension,2026-10-12T08:00:00-04:00,2026-10-12T08:30:00-04:00,False,confirmed,gloria.wiggins@voissync.ai,gloria.wiggins@voissync.ai,RRULE:FREQ=WEEKLY;INTERVAL=2;BYDAY=MO,default
