id,name,parent_id,owner_id,description,size,extension,sha1,created_at,modified_at
file_prospect_form_v1_2,federation_prospect_form_v1_2.pdf,f_fed_confidential,11111004,"SHF pre-filled prospect submission form, template v1.2. Three rows: Oskar Ek (row_1), redacted (row_2), redacted (row_3). Footer: form_version 1.2, cut_label INITIAL_PREFILL.",184320,pdf,a1b2c3d4e5f6789012345678901234567890abcd,2027-01-22T08:00:00Z,2027-01-22T08:00:00Z
file_oskar_dossier,oskar_ek_evaluation_dossier_v3.pdf,f_fed_confidential,11111001,"Per-player evaluation dossier for prospect_1 Oskar Ek (J20 captain, age 18, LW). Includes back-half shift logs analytics signed off by Nils on the staff channel.",524288,pdf,b2c3d4e5f67890123456789012345678901abcde1,2027-01-20T14:30:00Z,2027-01-25T12:00:00Z
file_prospect2_dossier,prospect_row2_evaluation_dossier_REDACTED.pdf,f_fed_confidential,11111001,"Per-player evaluation dossier for prospect_2 (C, redacted in this view). Cleared medical status pending Strand confirmation.",487420,pdf,c3d4e5f678901234567890123456789012abcde12,2027-01-20T14:30:00Z,2027-01-24T16:00:00Z
file_prospect3_dossier,prospect_row3_evaluation_dossier_REDACTED.pdf,f_fed_confidential,11111001,"Per-player evaluation dossier for prospect_3 (RD, redacted in this view). Draft eligibility carried as Pending in stale T2 Airtable snapshot; harness will refresh to Cleared at stage0.",412688,pdf,d4e5f6789012345678901234567890123abcde123,2027-01-20T14:30:00Z,2027-01-24T17:00:00Z
file_circular_v1_2,federation_prospect_circular_v1_2_acknowledgement.pdf,f_fed_confidential,11111004,"Acknowledgement copy of federation prospect circular v1.2 (column-definition reference). Mirror of Confluence canonical, kept for legal-archive parity.",96256,pdf,e5f67890123456789012345678901234abcde1234,2027-01-04T09:00:00Z,2027-01-04T09:00:00Z
file_pathway_eula,SHF_confidential_pathway_eula_2027.pdf,f_fed_confidential,11111004,Annual confidential-pathway acceptable-use terms for the 2027 prospect cycle. Lamar signed on first login of the cycle.,73728,pdf,f67890123456789012345678901234abcde12345,2026-12-01T08:00:00Z,2026-12-01T08:00:00Z
file_oskar_idp,oskar_ek_idp_2026-27.docx,f_scouting_dossiers,11111001,"Oskar Ek individual development plan, 2026-27 season. Right-side stride load + neutral-zone wall-out drills.",41984,docx,67890123456789012345678901234abcde123456,2026-09-04T08:00:00Z,2027-01-23T15:20:00Z
file_q2_scouting_notes,q2_scouting_notes_compiled.docx,f_scouting_dossiers,11111001,Compiled Q2 (mid-season) scouting notes across all 18-19yo prospects in the group. Three SHL-ready names identified.,86016,docx,7890123456789012345678901234abcde1234567,2027-01-08T08:00:00Z,2027-01-19T09:00:00Z
file_brynas_h2h_log,brynas_j20_h2h_shift_log_2026-27.xlsx,f_scouting_dossiers,11111001,Shift-by-shift logs of all three head-to-head Brynas J20 matchups this season. Special-teams ratios broken down by period.,102400,xlsx,890123456789012345678901234abcde12345678,2026-12-11T08:00:00Z,2027-01-21T17:00:00Z
file_camp_2026_close,summer_camp_2026_close_signed_by_mikael.pdf,f_camp_2027,11111002,"Final signed budget close from summer camp 2026 (the prior-year close, FINAL not draft). Anchor reference for the 2027 first draft.",327680,pdf,90123456789012345678901234abcde123456789,2026-08-10T08:00:00Z,2026-08-10T08:00:00Z
file_camp_2027_outline,summer_camp_2027_programme_outline_draft.docx,f_camp_2027,11111001,"Draft programme outline for the 2027 camp. Headcount target 28-32. Blocks: on-ice, off-ice, video, recovery.",53248,docx,0123456789012345678901234abcde1234567890,2026-12-15T08:00:00Z,2027-01-22T14:00:00Z
