ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1791800000.0001,C_ICU,U_lucie,Session recordings from last year are posted on Vimeo if you want them before Halifax.,,0,
1791810000.0002,C_ICU,U_lucie,The Salesforce export has the latest stakeholder list - pull it via salesforce-api before the council brief.,,0,
1791821944.0000,C_GENERAL,U_x12,Mailchimp open rate looks healthy.,,4,
1791824931.0001,C_ICU,U_x15,Figma posters updated.,,1,eyes
1791829101.0002,C_ICU,U_x06,Typeform responses are climbing.,,0,
1791829639.0003,C_GENERAL,U_x08,Site walk moved to Thursday.,,4,+1
1791833175.0004,C_GENERAL,U_x09,Parking-mitigation revision landed; objections dropped.,,4,tada
1791835361.0005,C_GENERAL,U_x15,Parking-mitigation revision landed; objections dropped.,,1,tada
1791840189.0006,C_GENERAL,U_jf,Reminder texts queued for the registered list.,,1,eyes
1791843520.0007,C_ICU,U_x03,Mailchimp open rate looks healthy.,,1,+1
1791844140.0008,C_GENERAL,U_x23,Reminder texts queued for the registered list.,,2,
1791848171.0009,C_GENERAL,U_x03,Reminder texts queued for the registered list.,,4,
1791851796.0010,C_ICU,U_x21,Pushed the bilingual deck draft.,,4,+1
1791854283.0011,C_ICU,U_x14,Reconciled the canopy figure with GIS.,,0,+1
1791857637.0012,C_ICU,U_jf,Reconciled the canopy figure with GIS.,,1,tada
1791860983.0013,C_ICU,U_x10,Pushed the bilingual deck draft.,,1,+1
1791863107.0014,C_ALLIANCE,U_x02,Can someone confirm the Centre communautaire booking?,,1,eyes
1791865568.0015,C_ICU,U_x00,Need JF to sign off before anything goes up.,,3,tada
1791869483.0016,C_ALLIANCE,U_x02,Typeform responses are climbing.,,2,tada
1791871765.0017,C_ICU,U_lucie,Parking-mitigation revision landed; objections dropped.,,4,tada
1791872546.0018,C_ALLIANCE,U_lucie,Figma posters updated.,,0,+1
1791876723.0019,C_GENERAL,U_x09,Parking-mitigation revision landed; objections dropped.,,2,tada
1791880649.0020,C_GENERAL,U_x13,Pushed the bilingual deck draft.,,0,eyes
1791883372.0021,C_ALLIANCE,U_x23,Reminder texts queued for the registered list.,,2,eyes
1791887763.0022,C_MOBILITE,U_x00,Can someone confirm the Centre communautaire booking?,,3,tada
1791890302.0023,C_ALLIANCE,U_x06,Pushed the bilingual deck draft.,,0,tada
1791892793.0024,C_ALLIANCE,U_x02,Reminder texts queued for the registered list.,,1,tada
1791895686.0025,C_ALLIANCE,U_x02,Mailchimp open rate looks healthy.,,4,
1791898941.0026,C_ICU,U_x07,Can someone confirm the Centre communautaire booking?,,2,+1
1791901199.0027,C_ALLIANCE,U_x14,Figma posters updated.,,3,tada
1791904475.0028,C_GENERAL,U_x05,Need JF to sign off before anything goes up.,,2,tada
1791907168.0029,C_ALLIANCE,U_x22,Site walk moved to Thursday.,,0,tada
1791911134.0030,C_ALLIANCE,U_x14,Reminder texts queued for the registered list.,,0,+1
1791913356.0031,C_GENERAL,U_x01,Typeform responses are climbing.,,0,eyes
1791915531.0032,C_ICU,U_x13,Parking-mitigation revision landed; objections dropped.,,4,+1
1791919440.0033,C_MOBILITE,U_x20,Reconciled the canopy figure with GIS.,,0,tada
1791919947.0034,C_ALLIANCE,U_x01,Figma posters updated.,,0,+1
1791922248.0035,C_ALLIANCE,U_lucie,Typeform responses are climbing.,,4,
1791925738.0036,C_MOBILITE,U_x06,Can someone confirm the Centre communautaire booking?,,2,tada
1791926623.0037,C_ICU,U_x00,Reminder texts queued for the registered list.,,4,+1
1791927991.0038,C_GENERAL,U_x07,Need JF to sign off before anything goes up.,,3,+1
1791931807.0039,C_ICU,U_x12,Pushed the bilingual deck draft.,,0,eyes
1791934612.0040,C_GENERAL,U_x19,Typeform responses are climbing.,,3,
1791938754.0041,C_ALLIANCE,U_x18,Reminder texts queued for the registered list.,,3,+1
1791940535.0042,C_ICU,U_x07,Need JF to sign off before anything goes up.,,4,+1
1791944728.0043,C_ALLIANCE,U_x14,Can someone confirm the Centre communautaire booking?,,3,+1
1791945692.0044,C_MOBILITE,U_x14,Can someone confirm the Centre communautaire booking?,,4,tada
1791949298.0045,C_MOBILITE,U_jf,Can someone confirm the Centre communautaire booking?,,2,+1
1791950387.0046,C_GENERAL,U_sophie,Parking-mitigation revision landed; objections dropped.,,0,+1
1791951235.0047,C_ICU,U_x12,Parking-mitigation revision landed; objections dropped.,,3,eyes
1791955682.0048,C_ALLIANCE,U_x19,Need JF to sign off before anything goes up.,,3,
1791959916.0049,C_GENERAL,U_x00,Need JF to sign off before anything goes up.,,3,
1791964742.0050,C_ALLIANCE,U_x15,Can someone confirm the Centre communautaire booking?,,2,
1791968323.0051,C_ALLIANCE,U_x20,Reminder texts queued for the registered list.,,4,eyes
1791970863.0052,C_GENERAL,U_x00,Need JF to sign off before anything goes up.,,0,eyes
1791972335.0053,C_ALLIANCE,U_x19,Site walk moved to Thursday.,,3,
1791977246.0054,C_GENERAL,U_x23,Reconciled the canopy figure with GIS.,,3,eyes
1791980900.0055,C_MOBILITE,U_x14,Can someone confirm the Centre communautaire booking?,,4,
1791985443.0056,C_GENERAL,U_x21,Can someone confirm the Centre communautaire booking?,,1,+1
1791987855.0057,C_ICU,U_sophie,Can someone confirm the Centre communautaire booking?,,3,+1
1791990837.0058,C_ICU,U_x12,Figma posters updated.,,2,+1
1791991915.0059,C_ICU,U_x01,Parking-mitigation revision landed; objections dropped.,,2,
