id,name,path,parent_folder_id,mime_type,size_bytes,owner_email,created_at,modified_at,shared,version
fil_budget_2026,Deep_Roots_Budget_2026.gsheet,/Deep Roots Grant 2026/Budget Documents/Deep_Roots_Budget_2026.gsheet,fld_budget_docs,application/vnd.google-apps.spreadsheet,48211,gloria.wiggins@voissync.ai,2026-09-22T10:00:00Z,2026-10-04T16:00:00Z,True,4
fil_harvest_plan,Harvest_Day_Oct17_Planning.gsheet,/Deep Roots Grant 2026/Community Data/Harvest_Day_Oct17_Planning.gsheet,fld_community_data,application/vnd.google-apps.spreadsheet,32104,gloria.wiggins@voissync.ai,2026-09-12T10:00:00Z,2026-10-01T18:00:00Z,True,3
fil_trial_plot,Trial_Plot_Data_2026.gsheet,/Field Data/Trial_Plot_Data_2026.gsheet,fld_field_data,application/vnd.google-apps.spreadsheet,56488,gloria.wiggins@voissync.ai,2026-04-01T08:00:00Z,2026-09-28T17:00:00Z,True,12
fil_soil_analysis,Soil_Analysis_Piedmont_2026.gsheet,/Field Data/Soil_Analysis_Piedmont_2026.gsheet,fld_field_data,application/vnd.google-apps.spreadsheet,21044,gloria.wiggins@voissync.ai,2026-09-28T11:00:00Z,2026-09-28T11:05:00Z,True,1
fil_curriculum,Workshop_Curriculum_Modules.gsheet,/Deep Roots Grant 2026/Community Data/Workshop_Curriculum_Modules.gsheet,fld_community_data,application/vnd.google-apps.spreadsheet,28966,gloria.wiggins@voissync.ai,2026-09-08T14:00:00Z,2026-09-29T17:00:00Z,False,5
fil_materials,Workshop_Materials_Pricing.gsheet,/Deep Roots Grant 2026/Budget Documents/Workshop_Materials_Pricing.gsheet,fld_budget_docs,application/vnd.google-apps.spreadsheet,18802,gloria.wiggins@voissync.ai,2026-09-10T10:00:00Z,2026-09-25T15:00:00Z,False,2
fil_narrative_v3,Deep_Roots_Narrative_V3.gdoc,/Deep Roots Grant 2026/Narrative Drafts/Deep_Roots_Narrative_V3.gdoc,fld_narrative_drafts,application/vnd.google-apps.document,84221,gloria.wiggins@voissync.ai,2026-09-20T10:00:00Z,2026-09-20T17:00:00Z,True,1
fil_narrative_v4,Deep_Roots_Narrative_V4.gdoc,/Deep Roots Grant 2026/Narrative Drafts/Deep_Roots_Narrative_V4.gdoc,fld_narrative_drafts,application/vnd.google-apps.document,98454,gloria.wiggins@voissync.ai,2026-09-26T11:00:00Z,2026-09-26T17:00:00Z,True,1
fil_narrative_v5,Deep_Roots_Narrative_V5.gdoc,/Deep Roots Grant 2026/Narrative Drafts/Deep_Roots_Narrative_V5.gdoc,fld_narrative_drafts,application/vnd.google-apps.document,103299,gloria.wiggins@voissync.ai,2026-10-02T14:00:00Z,2026-10-02T17:00:00Z,True,1
fil_guidelines_pdf,Fieldstone_Foundation_Grant_Guidelines_2026.pdf,/Deep Roots Grant 2026/Appendices/Fieldstone_Foundation_Grant_Guidelines_2026.pdf,fld_appendices,application/pdf,512840,gloria.wiggins@voissync.ai,2026-09-15T09:00:00Z,2026-09-15T09:00:00Z,False,1
fil_lab_pdf,NC_Ag_Lab_Report_Sep2026.pdf,/Field Data/NC_Ag_Lab_Report_Sep2026.pdf,fld_field_data,application/pdf,184992,gloria.wiggins@voissync.ai,2026-09-28T11:00:00Z,2026-09-28T11:00:00Z,True,1
fil_field_notebook_aug,Field_Notebook_Aug2026.gdoc,/Field Data/Field_Notebook_Aug2026.gdoc,fld_field_data,application/vnd.google-apps.document,43021,gloria.wiggins@voissync.ai,2026-08-01T08:00:00Z,2026-08-31T17:00:00Z,False,1
fil_field_notebook_sep,Field_Notebook_Sep2026.gdoc,/Field Data/Field_Notebook_Sep2026.gdoc,fld_field_data,application/vnd.google-apps.document,51208,gloria.wiggins@voissync.ai,2026-09-01T08:00:00Z,2026-09-30T17:00:00Z,False,1
fil_extension_q3,Extension_Report_Q3_2026.gdoc,/Extension Reports/Extension_Report_Q3_2026.gdoc,fld_extension_reports,application/vnd.google-apps.document,38450,gloria.wiggins@voissync.ai,2026-09-25T10:00:00Z,2026-09-30T17:00:00Z,True,1
fil_water_rights_brief,Water_Rights_Background.gdoc,/Extension Reports/Water_Rights_Background.gdoc,fld_extension_reports,application/vnd.google-apps.document,29110,gloria.wiggins@voissync.ai,2026-07-12T10:00:00Z,2026-09-20T17:00:00Z,True,3
fil_herbal_notes_master,Herbalism_Master_Notes.gdoc,/Herbalism Notes/Herbalism_Master_Notes.gdoc,fld_herbalism_notes,application/vnd.google-apps.document,72980,gloria.wiggins@voissync.ai,2024-09-01T08:00:00Z,2026-09-22T17:00:00Z,False,18
