id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
page_PPR26A_gt01,database_id,db_PPR26A_audit,[PPR-26A] [sev:high] [status:scheduled_for_redesign] Audit finding for component 11:01 - Login Redesign SSO flow. MyHealthHub Portal demonstrates persistent breadcrumb nav during authentication redirects. Our current SSO handoff drops orientation cues entirely. Severity high per Notion update.,2026-09-19T10:30:00Z,2026-10-02T16:45:00Z,u_003,false,📝,
page_PPR26A_gt02,database_id,db_PPR26A_audit,"[PPR-26A] [sev:high] [status:scheduled_for_redesign] Audit finding for component 11:14 - Refill Flow step navigation. Users report ""I keep losing my place when I switch between the medication list and the pickup options"" (corroborated in P12 usability session at 00:14). CareNav Portal's inline refill tracker pattern addresses this directly.",2026-09-20T10:30:00Z,2026-10-03T16:45:00Z,u_002,false,📝,
page_PPR26A_gt03,database_id,db_PPR26A_audit,"[PPR-26A] [sev:medium] [status:pending_review] Audit finding for component 11:27 - Messaging thread lacks contextual guidance. Per P12, users uncertain about message status and thread continuity. WellSync Patient Portal uses contextual help tooltips in messaging views as a reference pattern.",2026-09-21T10:30:00Z,2026-10-04T16:45:00Z,u_002,false,📝,
page_PPR26A_q1cycle,database_id,db_PPR26A_audit,"[PPR-26A] [sev:medium] [cycle:q1-2026] [status:rejected] Earlier audit observation referencing component 5:11 - closed-2025 review. Prior-cycle finding, kept for archive context. Not in current sprint scope.",2026-08-05T09:12:00Z,2026-08-12T13:30:00Z,u_001,false,🗂️,
page_PPR26A_orphan,database_id,db_PPR26A_audit,[PPR-26A] [sev:high] [status:scheduled_for_redesign] Audit finding referencing component 12:88 - pickup confirmation accessibility gap. No persistent indicator; users mentioned similar navigation friction in earlier sessions.,2026-09-21T11:10:00Z,2026-10-01T09:05:00Z,u_004,false,📝,
page_PPRZ6A_typo,database_id,db_PPRZ6A_audit,"[PPR-Z6A] [sev:high] [status:scheduled_for_redesign] Audit finding referencing component 11:01. The persistent breadcrumb nav reference from MyHealthHub applies here; users say ""losing my place"" during SSO.",2026-09-22T14:00:00Z,2026-10-05T10:20:00Z,u_002,false,📝,
page_filler_001,database_id,db_dsy26_tokens,Token library quarterly review - added new neutral shade scale,2026-08-05T10:15:00Z,2026-08-07T10:15:00Z,tanya.brooks,false,📊,
page_filler_002,page_id,db_filler_1,Onboarding empty-state copy revisions,2026-09-06T10:15:00Z,2026-09-08T10:15:00Z,morgan.okafor,false,📐,
page_filler_003,database_id,db_filler_2,Component library audit Q3 - chip variants,2026-10-07T10:15:00Z,2026-10-09T10:15:00Z,yuki.nakamura,false,📊,
page_filler_004,page_id,db_dsy26_tokens,Color contrast scan summary - May 2026 release,2026-08-08T10:15:00Z,2026-08-10T10:15:00Z,sofia.gallego,false,📝,
page_filler_005,database_id,db_filler_4,Spacing audit for new dashboard grid,2026-09-09T10:15:00Z,2026-09-11T10:15:00Z,marcus.bell,true,📐,
page_filler_006,page_id,db_filler_0,Mobile navigation pattern decisions log,2026-10-10T10:15:00Z,2026-10-12T10:15:00Z,priya.shah,false,📐,
page_filler_007,database_id,db_dsy26_tokens,Iconography standards update,2026-08-11T10:15:00Z,2026-08-13T10:15:00Z,tanya.brooks,false,🎨,
page_filler_008,page_id,db_filler_2,Form validation handling pattern doc,2026-09-12T10:15:00Z,2026-09-14T10:15:00Z,kenji.tanaka,false,📊,
page_filler_009,database_id,db_filler_3,Loading state interactions decisions,2026-10-13T10:15:00Z,2026-10-15T10:15:00Z,noah.weber,false,📐,
page_filler_010,page_id,db_dsy26_tokens,Microcopy guideline updates,2026-08-14T10:15:00Z,2026-08-16T10:15:00Z,yuki.nakamura,false,📊,
page_filler_011,database_id,db_filler_0,Empty-state illustration sourcing,2026-09-15T10:15:00Z,2026-09-17T10:15:00Z,lin.chen,false,📝,
page_filler_012,page_id,db_filler_1,Animation timing principles refresh,2026-10-12T10:15:00Z,2026-10-14T10:15:00Z,cass.leung,false,📝,
page_filler_013,database_id,db_dsy26_tokens,Modal accessibility checklist,2026-08-17T10:15:00Z,2026-08-19T10:15:00Z,amir.haddad,false,📊,
