id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
blk_001,ouellet_position_note,,paragraph,Position: neutral-pending-final-round on Mobilite Plateau (as of 2026-10-15). Office walked back the earlier cautious-supportive comment; wants to see final-round feedback before any on-record line. No on-record line before the final round.,1,2026-09-01T10:00:00.000Z,2026-10-15T10:00:00.000Z,False,False
blk_002,sophie_headcount_note,,paragraph,"Estimated attendance for the October 15 final consultation: 210 (Sophie Chen, portal RSVPs, as of 2026-10-14). Earlier schedule figure was 180.",1,2026-10-10T10:00:00.000Z,2026-10-14T10:00:00.000Z,False,False
blk_003,parcex_methodology,,paragraph,"Four-language survey (FR/EN/Tamil/Urdu). Carried baseline: 60% immigrant share, 40% renters spending >30% of income on housing. Outreach through trusted community organizations, not traditional public meetings.",1,2026-02-10T10:00:00.000Z,2026-10-11T10:00:00.000Z,False,False
blk_d01,parcex_cached_figures,,paragraph,"Quick reference (cached 2026-10-05, may be stale): cost-burdened renters 43% (FINAL?). Tree canopy 21.8% (design table). Final consultation attendance 180 (locked?). Business-owner objections 14. Ouellet cautious-supportive.",1,2026-10-05T10:00:00.000Z,2026-10-05T10:00:00.000Z,False,False
blk_climate,climate_metrics_ref,,paragraph,"Green-infrastructure module figures. The GIS layer reads tree canopy 22.4%, which is authoritative over the 21.8% design-table value and the 19.1% 2024 baseline. Permeable surface area 18450 m2, reported exactly. Cooling-corridor coverage 6.2 km.",1,2026-10-09T10:00:00.000Z,2026-10-11T10:00:00.000Z,False,False
blk_traffic,mobilite_traffic_ref,,paragraph,"Cycling counts for the protected bike-lane alignment. Before 1,240 daily trips, projected after 2,980 daily trips. Parking spaces affected 84 (not a trip count). Intercept survey N=312.",1,2026-10-08T10:00:00.000Z,2026-10-11T10:00:00.000Z,False,False
blk_g0000,pg_000,,paragraph,Action item for Amara.,1,2026-10-24T10:00:00.000Z,2026-10-12T10:00:00.000Z,False,True
blk_g0001,pg_000,,bulleted_list_item,Action item for Amara.,2,2026-06-19T10:00:00.000Z,2026-10-09T10:00:00.000Z,False,True
blk_g0002,pg_001,,bulleted_list_item,Action item for Amara.,1,2026-07-05T10:00:00.000Z,2026-10-07T10:00:00.000Z,False,True
blk_g0003,pg_001,,paragraph,Outreach via community org.,2,2026-03-07T10:00:00.000Z,2026-10-04T10:00:00.000Z,False,False
blk_g0004,pg_002,,to_do,Engagement history logged.,1,2026-08-21T10:00:00.000Z,2026-10-03T10:00:00.000Z,False,True
blk_g0005,pg_002,,paragraph,Outreach via community org.,2,2026-08-21T10:00:00.000Z,2026-10-14T10:00:00.000Z,False,True
blk_g0006,pg_002,,paragraph,Follow-up scheduled.,3,2026-09-06T10:00:00.000Z,2026-10-10T10:00:00.000Z,False,False
blk_g0007,pg_002,,bulleted_list_item,Notes from site visit.,4,2026-09-01T10:00:00.000Z,2026-10-13T10:00:00.000Z,False,True
blk_g0008,pg_003,,paragraph,Notes from site visit.,1,2026-03-03T10:00:00.000Z,2026-10-11T10:00:00.000Z,False,False
blk_g0009,pg_003,,to_do,Follow-up scheduled.,2,2026-05-25T10:00:00.000Z,2026-10-06T10:00:00.000Z,False,False
blk_g0010,pg_003,,paragraph,Notes from site visit.,3,2026-07-16T10:00:00.000Z,2026-10-03T10:00:00.000Z,False,False
blk_g0011,pg_004,,to_do,Engagement history logged.,1,2026-03-17T10:00:00.000Z,2026-10-02T10:00:00.000Z,False,False
blk_g0012,pg_004,,bulleted_list_item,Action item for Amara.,2,2026-02-27T10:00:00.000Z,2026-10-13T10:00:00.000Z,False,True
blk_g0013,pg_004,,to_do,Position: supportive.,3,2026-08-04T10:00:00.000Z,2026-10-08T10:00:00.000Z,False,False
blk_g0014,pg_005,,to_do,Survey response recorded.,1,2026-07-16T10:00:00.000Z,2026-10-03T10:00:00.000Z,False,True
blk_g0015,pg_005,,to_do,Follow-up scheduled.,2,2026-05-19T10:00:00.000Z,2026-10-11T10:00:00.000Z,False,True
blk_g0016,pg_005,,bulleted_list_item,Position: conditional.,3,2026-02-12T10:00:00.000Z,2026-10-03T10:00:00.000Z,False,True
blk_g0017,pg_005,,to_do,Position: conditional.,4,2026-04-17T10:00:00.000Z,2026-10-06T10:00:00.000Z,False,False
blk_g0018,pg_006,,bulleted_list_item,Survey response recorded.,1,2026-06-08T10:00:00.000Z,2026-10-04T10:00:00.000Z,False,True
blk_g0019,pg_006,,paragraph,Survey response recorded.,2,2026-10-10T10:00:00.000Z,2026-10-12T10:00:00.000Z,False,False
blk_g0020,pg_006,,paragraph,Survey response recorded.,3,2026-05-25T10:00:00.000Z,2026-10-10T10:00:00.000Z,False,False
blk_g0021,pg_006,,paragraph,Engagement history logged.,4,2026-05-13T10:00:00.000Z,2026-10-14T10:00:00.000Z,False,True
blk_g0022,pg_007,,to_do,Engagement history logged.,1,2026-04-21T10:00:00.000Z,2026-10-06T10:00:00.000Z,False,True
blk_g0023,pg_007,,paragraph,Outreach via community org.,2,2026-06-26T10:00:00.000Z,2026-10-04T10:00:00.000Z,False,False
blk_g0024,pg_007,,paragraph,Outreach via community org.,3,2026-07-22T10:00:00.000Z,2026-10-07T10:00:00.000Z,False,True
blk_g0025,pg_007,,bulleted_list_item,Engagement history logged.,4,2026-04-20T10:00:00.000Z,2026-10-01T10:00:00.000Z,False,False
blk_g0026,pg_008,,paragraph,Action item for Amara.,1,2026-03-12T10:00:00.000Z,2026-10-14T10:00:00.000Z,False,False
blk_g0027,pg_008,,to_do,Action item for Amara.,2,2026-10-22T10:00:00.000Z,2026-10-10T10:00:00.000Z,False,True
blk_g0028,pg_008,,paragraph,Position: neutral.,3,2026-07-08T10:00:00.000Z,2026-10-12T10:00:00.000Z,False,False
blk_g0029,pg_009,,bulleted_list_item,Position: neutral.,1,2026-04-05T10:00:00.000Z,2026-10-03T10:00:00.000Z,False,False
blk_g0030,pg_009,,bulleted_list_item,Notes from site visit.,2,2026-06-14T10:00:00.000Z,2026-10-07T10:00:00.000Z,False,True
blk_g0031,pg_009,,to_do,Survey response recorded.,3,2026-04-07T10:00:00.000Z,2026-10-09T10:00:00.000Z,False,False
blk_g0032,pg_009,,bulleted_list_item,Position: neutral.,4,2026-09-09T10:00:00.000Z,2026-10-07T10:00:00.000Z,False,False
blk_g0033,pg_010,,to_do,Outreach via community org.,1,2026-03-10T10:00:00.000Z,2026-10-05T10:00:00.000Z,False,True
blk_g0034,pg_011,,paragraph,Action item for Amara.,1,2026-10-10T10:00:00.000Z,2026-10-12T10:00:00.000Z,False,False
blk_g0035,pg_012,,bulleted_list_item,Position: neutral.,1,2026-02-08T10:00:00.000Z,2026-10-09T10:00:00.000Z,False,True
blk_g0036,pg_012,,paragraph,Follow-up scheduled.,2,2026-10-05T10:00:00.000Z,2026-10-01T10:00:00.000Z,False,False
blk_g0037,pg_012,,bulleted_list_item,Action item for Amara.,3,2026-07-13T10:00:00.000Z,2026-10-10T10:00:00.000Z,False,False
blk_g0038,pg_012,,bulleted_list_item,Action item for Amara.,4,2026-09-21T10:00:00.000Z,2026-10-06T10:00:00.000Z,False,True
blk_g0039,pg_013,,bulleted_list_item,Action item for Amara.,1,2026-02-08T10:00:00.000Z,2026-10-04T10:00:00.000Z,False,True
