id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
page-home,workspace,workspace-amanda-personal,Home,2025-11-15T09:05:00.000Z,2026-09-15T19:00:00.000Z,user-amanda,false,home,
page-budget-mortgage,database,db-budget,Mortgage,2025-12-28T10:05:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-alimony,database,db-budget,Alimony,2025-12-28T10:06:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-child-support,database,db-budget,Child support,2025-12-28T10:07:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-car-payment,database,db-budget,Car payment,2025-12-28T10:08:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-car-insurance,database,db-budget,Car insurance,2025-12-28T10:09:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-utilities,database,db-budget,Utilities,2025-12-28T10:10:00.000Z,2026-08-01T09:00:00.000Z,user-amanda,false,,
page-budget-groceries,database,db-budget,Groceries,2025-12-28T10:11:00.000Z,2026-08-01T09:00:00.000Z,user-amanda,false,,
page-budget-gas,database,db-budget,Gas,2025-12-28T10:12:00.000Z,2026-08-01T09:00:00.000Z,user-amanda,false,,
page-budget-phone,database,db-budget,Phone,2025-12-28T10:13:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-subscriptions,database,db-budget,Subscriptions,2025-12-28T10:14:00.000Z,2026-06-01T09:00:00.000Z,user-amanda,false,,
page-budget-dining,database,db-budget,Dining/DoorDash,2025-12-28T10:15:00.000Z,2026-08-01T09:00:00.000Z,user-amanda,false,,
page-budget-therapy,database,db-budget,Therapy copay,2025-12-28T10:16:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-personal,database,db-budget,Personal/misc,2025-12-28T10:17:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-trello,database,db-budget,Trello Premium,2025-12-28T10:18:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-school-lunches,database,db-budget,Kids school lunches,2025-12-28T10:19:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-budget-ski,database,db-budget,Ski pass + maintenance,2025-12-28T10:20:00.000Z,2026-01-01T09:00:00.000Z,user-amanda,false,,
page-kids-soccer,database,db-kids-activities,Lily - Soccer Fall 2026,2026-08-15T14:00:00.000Z,2026-09-15T19:00:00.000Z,user-amanda,false,,
page-kids-robotics,database,db-kids-activities,Ethan - Robotics Club,2026-08-20T10:00:00.000Z,2026-09-10T16:00:00.000Z,user-amanda,false,,
page-gear-ski-boots,database,db-gear-wishlist,Scarpa Maestrale RS,2026-01-10T11:05:00.000Z,2026-08-20T16:00:00.000Z,user-amanda,false,,
page-gear-pack,database,db-gear-wishlist,Osprey Talon 36,2026-03-15T09:00:00.000Z,2026-06-01T10:00:00.000Z,user-amanda,false,,
