id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
blk_001,pg_dac_home,,heading_1,DAC Environmental Services,1,2024-03-01T09:10:00-07:00,2024-03-01T09:10:00-07:00,False,
blk_002,pg_dac_home,,paragraph,"Workspace home — SOPs, sampling rounds, county reporting templates.",2,2024-03-01T09:11:00-07:00,2026-09-30T16:12:00-06:00,False,
blk_003,pg_dac_sop_monthly,,heading_2,Monthly grab-sampling SOP (v4),1,2026-08-12T13:42:00-06:00,2026-08-12T13:42:00-06:00,False,
blk_004,pg_dac_sop_monthly,,paragraph,Upstream cluster (Sites 1–6) sampled by the 14th; downstream cluster (Sites 7–12) by the 28th. Chain-of-custody form sealed at handoff to receiving lab.,2,2026-08-12T13:43:00-06:00,2026-08-12T13:43:00-06:00,False,
blk_005,pg_leather_home,,heading_1,Salazar Leathercraft,1,2025-01-12T19:05:00-07:00,2025-01-12T19:05:00-07:00,False,
blk_006,pg_leather_home,,paragraph,"Workspace for Salazar Leathercraft — Etsy shop, inventory, commission log, ArtsFaire prep.",2,2025-01-12T19:06:00-07:00,2026-10-12T20:14:00-06:00,False,
blk_007,pg_clearwater_grant,,heading_1,Clearwater Environmental Trust Grant — 2026 cohort,1,2026-01-06T09:00:00-07:00,2026-01-06T09:00:00-07:00,False,
blk_008,pg_clearwater_grant,,paragraph,"Three-year watershed-monitoring grant. Pre-submission intent notice due Sat Nov 7; full application due Dec 14, 2026. Y1 direct costs total $101,940. Indirect rate capped at the Clearwater portal FAQ figure (authoritative over any CRM record). Y2/Y3 budget columns blank pending Brennan budget-review sign-off.",2,2026-01-06T09:05:00-07:00,2026-10-14T11:20:00-06:00,False,
blk_009,pg_clearwater_grant,,to_do,Fill Y1 Indirect (12%) line once portal cap confirmed,3,2026-10-14T11:18:00-06:00,2026-10-14T11:20:00-06:00,False,False
blk_010,pg_leather_commissions,,heading_1,Commission log,0,2026-08-01T09:00:00.000Z,2026-10-19T09:00:00.000Z,False,
blk_011,pg_leather_commissions,,paragraph,"Albuquerque journal cover (Etsy buyer @rgv_archivist): hand-tooled veg-tan, committed delivery Dec 5, 2026. Invoice SL-2026-0118, deposit 209.25 paid (50%), balance 209.25 due on delivery.",1,2026-08-01T09:05:00.000Z,2026-10-19T09:00:00.000Z,False,
blk_012,pg_clearwater_budget_workbook,,paragraph,"Y1 direct total $101,940. Y1 indirect line to be filled once the portal FAQ cap is confirmed (floor-rounded). Y2/Y3 columns blank pending Brennan budget-review sign-off.",0,2026-10-05T09:00:00.000Z,2026-10-19T09:00:00.000Z,False,
blk_gen_000001,pg_dac_home,,heading_1,DAC Environmental Services,1,2024-03-01T09:10:00-07:00,2024-03-01T09:10:00-07:00,False,
