playlist_id,name,description,owner_id,public,collaborative
pl_001,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_002,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_003,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000001,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000002,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000003,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000004,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000005,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000006,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000007,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000008,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000009,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000010,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000011,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000012,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000013,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000014,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000015,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000016,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000017,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000018,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000019,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000020,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000021,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000022,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000023,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000024,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000025,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000026,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000027,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000028,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000029,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000030,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000031,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000032,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000033,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000034,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000035,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000036,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000037,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000038,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000039,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000040,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000041,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000042,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000043,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000044,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000045,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000046,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000047,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000048,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000049,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000050,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000051,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000052,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000053,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000054,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000055,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000056,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000057,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000058,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000059,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000060,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000061,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000062,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000063,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000064,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000065,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000066,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000067,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000068,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000069,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000070,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000071,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000072,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000073,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000074,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000075,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000076,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000077,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000078,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000079,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000080,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000081,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000082,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000083,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000084,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000085,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000086,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000087,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000088,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000089,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000090,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000091,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000092,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000093,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000094,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000095,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000096,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000097,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000098,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000099,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000100,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000101,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000102,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000103,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000104,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000105,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000106,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000107,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000108,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000109,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000110,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
pl_gen_000111,Cumbia Sundays,Family-friendly Sunday cumbia and norteno.,user-ian-salazar,true,false
pl_gen_000112,Leatherwork Bench,Saturday workshop steel guitar and cumbia cuts.,user-ian-salazar,false,false
pl_gen_000113,Field Day Drives,New Mexico desert drive mix for long site days.,user-ian-salazar,false,false
