item_id,board_id,group_id,name,created_at
item_m001,brd_pc_2026,grp-c_2026-september-meeting,Book catering for September parent council meeting,2026-08-25T09:00:00Z
item_m002,brd_pc_2026,grp-c_2026-november-meeting,Reserve gymnasium for November 4 parent council meeting,2026-09-20T09:00:00Z
item_m003,brd_pc_2026,grp-c_2026-november-meeting,Print handout packets for parent council attendees,2026-10-01T09:00:00Z
item_m004,brd_pc_2026,grp-c_2026-november-meeting,Arrange ASL interpreter for November 4 meeting,2026-10-05T09:00:00Z
item_m005,brd_pc_2026,grp-c_2026-november-meeting,Confirm childcare volunteers for November evening meeting,2026-10-08T09:00:00Z
item_m006,brd_outreach,grp-treach-fall-events,Coordinate winter coat drive with Riverside Community Centre,2026-09-15T09:00:00Z
item_m007,brd_outreach,grp-treach-fall-events,Confirm food vendors for multicultural night December 2026,2026-10-01T09:00:00Z
item_m008,brd_outreach,grp-treach-volunteer-coordination,Update parent volunteer sign-up sheet for October events,2026-09-25T09:00:00Z
item_m009,brd_pc_2026,grp-c_2026-general,Draft thank-you cards for parent council executive members,2026-10-11T09:00:00Z
item_m010,brd_pc_2026,grp-c_2026-november-meeting,Order name badges and sign-in sheets for November 4,2026-10-10T09:00:00Z
