page_id,property_name,property_type,value
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
pg_clearwater_budget_workbook,Annual budget cap (Y1),number,115000
pg_clearwater_budget_workbook,Y1 direct total,number,101940
pg_clearwater_budget_workbook,Y1 Indirect,number,
pg_clearwater_budget_workbook,Y2 total,number,
pg_clearwater_budget_workbook,Y3 total,number,
pg_clearwater_budget_workbook,Personnel Y1,number,48000
pg_clearwater_budget_workbook,Personnel cap %,number,60
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
pg_clearwater_budget_workbook,Annual budget cap (Y1),number,115000
pg_clearwater_budget_workbook,Y1 direct total,number,101940
pg_clearwater_budget_workbook,Y1 Indirect,number,
pg_clearwater_budget_workbook,Y2 total,number,
pg_clearwater_budget_workbook,Y3 total,number,
pg_clearwater_budget_workbook,Personnel Y1,number,48000
pg_clearwater_budget_workbook,Personnel cap %,number,60
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
pg_clearwater_budget_workbook,Annual budget cap (Y1),number,115000
pg_clearwater_budget_workbook,Y1 direct total,number,101940
pg_clearwater_budget_workbook,Y1 Indirect,number,
pg_clearwater_budget_workbook,Y2 total,number,
pg_clearwater_budget_workbook,Y3 total,number,
pg_clearwater_budget_workbook,Personnel Y1,number,48000
pg_clearwater_budget_workbook,Personnel cap %,number,60
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
pg_clearwater_budget_workbook,Annual budget cap (Y1),number,115000
pg_clearwater_budget_workbook,Y1 direct total,number,101940
pg_clearwater_budget_workbook,Y1 Indirect,number,
pg_clearwater_budget_workbook,Y2 total,number,
pg_clearwater_budget_workbook,Y3 total,number,
pg_clearwater_budget_workbook,Personnel Y1,number,48000
pg_clearwater_budget_workbook,Personnel cap %,number,60
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
pg_clearwater_budget_workbook,Annual budget cap (Y1),number,115000
pg_clearwater_budget_workbook,Y1 direct total,number,101940
pg_clearwater_budget_workbook,Y1 Indirect,number,
pg_clearwater_budget_workbook,Y2 total,number,
pg_clearwater_budget_workbook,Y3 total,number,
pg_clearwater_budget_workbook,Personnel Y1,number,48000
pg_clearwater_budget_workbook,Personnel cap %,number,60
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
pg_clearwater_budget_workbook,Annual budget cap (Y1),number,115000
pg_clearwater_budget_workbook,Y1 direct total,number,101940
pg_clearwater_budget_workbook,Y1 Indirect,number,
pg_clearwater_budget_workbook,Y2 total,number,
pg_clearwater_budget_workbook,Y3 total,number,
pg_clearwater_budget_workbook,Personnel Y1,number,48000
pg_clearwater_budget_workbook,Personnel cap %,number,60
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
pg_clearwater_budget_workbook,Annual budget cap (Y1),number,115000
pg_clearwater_budget_workbook,Y1 direct total,number,101940
pg_clearwater_budget_workbook,Y1 Indirect,number,
pg_clearwater_budget_workbook,Y2 total,number,
pg_clearwater_budget_workbook,Y3 total,number,
pg_clearwater_budget_workbook,Personnel Y1,number,48000
pg_clearwater_budget_workbook,Personnel cap %,number,60
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
pg_clearwater_budget_workbook,Annual budget cap (Y1),number,115000
pg_clearwater_budget_workbook,Y1 direct total,number,101940
pg_clearwater_budget_workbook,Y1 Indirect,number,
pg_clearwater_budget_workbook,Y2 total,number,
pg_clearwater_budget_workbook,Y3 total,number,
pg_clearwater_budget_workbook,Personnel Y1,number,48000
pg_clearwater_budget_workbook,Personnel cap %,number,60
pg_dac_sop_monthly,Status,select,Active
pg_dac_sop_monthly,Version,text,v4
pg_dac_sop_monthly,Owner,person,user_ian
pg_dac_sop_coc,Status,select,Active
pg_dac_sop_coc,Version,text,v2
pg_leather_inventory_main,Supplier,text,Maverick Leather Co.
pg_leather_inventory_main,On hand (sq ft),number,32
pg_leather_inventory_main,Reorder threshold,number,12
pg_clearwater_grant,Status,select,In progress
pg_clearwater_grant,Owner,person,user_ian
pg_clearwater_grant,Annual budget cap (Y1),number,115000
pg_clearwater_grant,Y1 direct total,number,101940
pg_clearwater_grant,Y1 Indirect (12%),number,
pg_clearwater_grant,Y2 total,number,
pg_clearwater_grant,Y3 total,number,
pg_clearwater_grant,Pre-submission intent notice due,date,2026-11-07
pg_clearwater_grant,Full application due,date,2026-12-14
pg_leather_commissions,Active commissions,number,3
pg_leather_commissions,Albuquerque journal cover - committed delivery,date,2026-12-05
pg_leather_commissions,Albuquerque journal cover - deposit paid,number,209.25
pg_leather_commissions,Albuquerque journal cover - balance due,number,209.25
pg_leather_commissions,Albuquerque journal cover - invoice,text,SL-2026-0118
pg_leather_commissions,Albuquerque journal cover - buyer,text,@rgv_archivist
