ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1728554400.001,C_EQUITY_CHAT,U_JPARK,Has anyone tried the new Ontario equity audit framework? We rolled it out last month and the data collection is intense but revealing.,,2,
1728558000.002,C_EQUITY_CHAT,U_RDAVIS,We did a pilot in two departments. The staff pushback was real but the student voice piece changed minds. Happy to share our template.,1728554400.001,0,
1728561600.003,C_EQUITY_CHAT,U_ASINGH,Our board just released updated anti-racism policy guidelines. I can share the summary if anyone wants to compare notes with their own district.,1728554400.001,0,
1728640800.004,C_CONFERENCE,U_CONFCOORD,Reminder that all presenter slide decks are due by October 15. Submit through the conference portal not by email.,,1,
1728644400.005,C_CONFERENCE,U_MVASQUEZ,Thanks for the reminder. My session is on equity implementation so I will have it in on time.,1728640800.004,0,
1728727200.006,C_BOOK_CLUB,U_LCHEN,Chapter 4 resonated with me. The part about equity fatigue in long-serving staff is something I see every day at my school.,,1,
1728730800.007,C_BOOK_CLUB,U_TMOREAU,Agreed. The framework for re-engaging veteran teachers without shaming them is exactly what we needed.,1728727200.006,0,
1728813600.008,C_GENERAL,U_MVASQUEZ,Thanks for the warm welcome everyone. Looking forward to connecting with the cohort at the conference.,,0,
1728900000.009,C_MENTORSHIP,U_KWRIGHT,My new VP is struggling with parent conflict resolution. Any good PD resources for that specifically?,,1,
1728903600.010,C_MENTORSHIP,U_MVASQUEZ,I used a case-study approach with my last mentee and it worked well. I can dig up the materials if you want them.,1728900000.009,0,
1728986400.011,C_EQUITY_CHAT,U_PLAMBERT,Does anyone have data on how CRP training completion rates compare across Ontario boards? I keep hearing 60 percent is the average but I have not seen the source.,,1,
1728990000.012,C_EQUITY_CHAT,U_JPARK,I have seen the same number floating around. I think it came from the 2025 provincial equity scan but I cannot find the original report either.,1728986400.011,0,
