id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
block_gt01_h,page_PPR26A_gt01,,heading_2,Login SSO Flow - Audit Finding,0,2026-09-19T10:30:00.000Z,2026-10-02T16:45:00.000Z,false,
block_gt01_p1,page_PPR26A_gt01,,paragraph,"Component 11:01 in Sprint 4 working file. MyHealthHub Portal demonstrates a persistent breadcrumb nav pattern during their authentication redirect flow. Users always know where they are in the SSO handoff, even across multiple identity provider screens.",1,2026-09-19T10:35:00.000Z,2026-10-02T16:45:00.000Z,false,
block_gt01_p2,page_PPR26A_gt01,,paragraph,Our current implementation drops all orientation cues when the user transitions through the SSO redirect. This is the primary usability gap for the login surface.,2,2026-09-19T10:40:00.000Z,2026-09-28T11:00:00.000Z,false,
block_gt01_p3,page_PPR26A_gt01,,paragraph,Severity set to high per Notion update. Scheduled for redesign in next sprint cycle.,3,2026-09-19T10:45:00.000Z,2026-10-02T16:45:00.000Z,false,
block_gt02_h,page_PPR26A_gt02,,heading_2,Refill Flow Step Navigation - Audit Finding,0,2026-09-20T10:30:00.000Z,2026-10-03T16:45:00.000Z,false,
block_gt02_p1,page_PPR26A_gt02,,paragraph,"Component 11:14. From P12 usability session at 00:14: ""I keep losing my place when I switch between the medication list and the pickup options."" This maps directly to the step navigation gap we identified in the refill flow.",1,2026-09-20T10:35:00.000Z,2026-10-03T16:45:00.000Z,false,
block_gt02_p2,page_PPR26A_gt02,,paragraph,"CareNav Portal uses an inline refill tracker pattern that keeps the user oriented throughout the medication flow. Their sidebar tracker persists across all steps, preventing the exact disorientation P12 described.",2,2026-09-20T10:40:00.000Z,2026-10-03T16:45:00.000Z,false,
block_gt02_p3,page_PPR26A_gt02,,paragraph,High severity. Cross-referenced with competitor annotations and usability session recording. Evidence chain is strong.,3,2026-09-20T10:45:00.000Z,2026-10-03T16:45:00.000Z,false,
block_gt03_h,page_PPR26A_gt03,,heading_2,Messaging Thread View - Audit Finding,0,2026-09-21T10:30:00.000Z,2026-10-04T16:45:00.000Z,false,
block_gt03_p1,page_PPR26A_gt03,,paragraph,"Component 11:27. P12 noted uncertainty about message status and thread continuity during secure messaging interactions. Users do not know whether a message was sent, read, or requires follow-up.",1,2026-09-21T10:35:00.000Z,2026-10-04T16:45:00.000Z,false,
block_gt03_p2,page_PPR26A_gt03,,paragraph,"WellSync Patient Portal uses contextual help tooltips in their messaging views as a reference pattern. Tooltips appear on hover and on first visit, providing orientation cues about thread state and available actions.",2,2026-09-21T10:40:00.000Z,2026-10-04T16:45:00.000Z,false,
block_gt03_p3,page_PPR26A_gt03,,paragraph,Medium severity. Pending further review before scheduling for redesign. Less critical than login and refill flow gaps but still impacts user confidence.,3,2026-09-21T10:45:00.000Z,2026-10-04T16:45:00.000Z,false,
