sheet_id,cell,row,column,value,value_type,formula
sh_budget_main,A1,1,1,Line Item,string,
sh_budget_main,B1,1,2,Category,string,
sh_budget_main,C1,1,3,Description,string,
sh_budget_main,D1,1,4,Amount,string,
sh_budget_main,E1,1,5,Notes,string,
sh_budget_main,A2,2,1,Program Coordinator Stipend,string,
sh_budget_main,B2,2,2,Personnel,string,
sh_budget_main,C2,2,3,Annual stipend for program coordinator (Gloria),string,
sh_budget_main,D2,2,4,24000.00,number,
sh_budget_main,E2,2,5,Y1 + Y2 split,string,
sh_budget_main,A3,3,1,Program Coordinator Travel,string,
sh_budget_main,B3,3,2,Personnel,string,
sh_budget_main,C3,3,3,Site visits + workshops,string,
sh_budget_main,D3,3,4,3200.00,number,
sh_budget_main,E3,3,5,Mileage + lodging,string,
sh_budget_main,A4,4,1,Program Coordinator Materials,string,
sh_budget_main,B4,4,2,Personnel,string,
sh_budget_main,C4,4,3,Field tools and supplies,string,
sh_budget_main,D4,4,4,2150.00,number,
sh_budget_main,E4,4,5,,string,
sh_budget_main,A5,5,1,Community Workshop Facilitators,string,
sh_budget_main,B5,5,2,Personnel,string,
sh_budget_main,C5,5,3,4 facilitators x $1500,string,
sh_budget_main,D5,5,4,6000.00,number,
sh_budget_main,E5,5,5,,string,
sh_budget_main,A6,6,1,Curriculum Development,string,
sh_budget_main,B6,6,2,Program,string,
sh_budget_main,C6,6,3,Module development + cultural review,string,
sh_budget_main,D6,6,4,8500.00,number,
sh_budget_main,E6,6,5,,string,
sh_budget_main,A7,7,1,Educational Materials & Supplies,string,
sh_budget_main,B7,7,2,Program,string,
sh_budget_main,C7,7,3,Workbooks + handouts,string,
sh_budget_main,D7,7,4,4800.00,number,
sh_budget_main,E7,7,5,,string,
sh_budget_main,A8,8,1,Seed & Soil Amendment Kits,string,
sh_budget_main,B8,8,2,Program,string,
sh_budget_main,C8,8,3,40 kits x $85,string,
sh_budget_main,D8,8,4,3400.00,number,
sh_budget_main,E8,8,5,,string,
sh_budget_main,A9,9,1,Technology & Equipment,string,
sh_budget_main,B9,9,2,Program,string,
sh_budget_main,C9,9,3,iPad + soil probes,string,
sh_budget_main,D9,9,4,5200.00,number,
sh_budget_main,E9,9,5,,string,
sh_budget_main,A10,10,1,Venue Rental,string,
sh_budget_main,B10,10,2,Program,string,
sh_budget_main,C10,10,3,6 sessions x $350,string,
sh_budget_main,D10,10,4,2100.00,number,
sh_budget_main,E10,10,5,,string,
sh_budget_main,A11,11,1,Transportation Assistance,string,
sh_budget_main,B11,11,2,Program,string,
sh_budget_main,C11,11,3,Participant transport stipends,string,
sh_budget_main,D11,11,4,3600.00,number,
sh_budget_main,E11,11,5,,string,
sh_budget_main,A12,12,1,Evaluation & Assessment,string,
sh_budget_main,B12,12,2,Evaluation,string,
sh_budget_main,C12,12,3,External evaluator + reporting,string,
sh_budget_main,D12,12,4,4289.13,number,
sh_budget_main,E12,12,5,,string,
sh_budget_main,A13,13,1,Community Outreach & Marketing,string,
sh_budget_main,B13,13,2,Outreach,string,
sh_budget_main,C13,13,3,Flyers + radio spots,string,
sh_budget_main,D13,13,4,4500.00,number,
sh_budget_main,E13,13,5,,string,
sh_budget_main,A14,14,1,DIRECT TOTAL,string,
sh_budget_main,B14,14,2,,string,
sh_budget_main,C14,14,3,Sum of all direct costs,string,
sh_budget_main,D14,14,4,71739.13,number,=SUM(D2:D13)
sh_budget_main,E14,14,5,,string,
sh_budget_main,A15,15,1,Indirect Cost Rate (15%),string,
sh_budget_main,B15,15,2,Indirect,string,
sh_budget_main,C15,15,3,Fieldstone allowed indirect,string,
sh_budget_main,D15,15,4,,number,
sh_budget_main,E15,15,5,Blank until T4 calc,string,
sh_budget_main,A16,16,1,TOTAL REQUESTED,string,
sh_budget_main,B16,16,2,,string,
sh_budget_main,C16,16,3,Direct + Indirect,string,
sh_budget_main,D16,16,4,,number,=D14+D15
sh_budget_main,E16,16,5,,string,
sh_budget_main,A17,17,1,CEILING,string,
sh_budget_main,B17,17,2,Reference,string,
sh_budget_main,C17,17,3,Fieldstone max award,string,
sh_budget_main,D17,17,4,85000.00,number,
sh_budget_main,E17,17,5,Updated T6 to 82500,string,
sh_budget_main,A18,18,1,MARGIN,string,
sh_budget_main,B18,18,2,Reference,string,
sh_budget_main,C18,18,3,Ceiling - Total,string,
sh_budget_main,D18,18,4,,number,=D17-D16
sh_budget_main,E18,18,5,,string,
