id,type,status,title,space_key,parent_id,version,body,created_by,created_at
pg_001,page,current,Board Policy Manual 2026-27,POLICY,,4,,admin_district,2023-09-01T09:00:00Z
pg_002,page,current,Policy 204 - Equity and Inclusive Education,POLICY,pg_001,3,Policy 204 establishes the Maplewood School Board's commitment to equity and inclusive education in accordance with the Ontario Human Rights Code and the Education Act. All schools shall develop and implement equity action plans reviewed annually by the board. Principals are accountable for reporting mid-year and end-of-year progress.,admin_district,2023-09-01T09:00:00Z
pg_003,page,current,Policy 312 - Community Partnerships and Engagement,POLICY,pg_001,2,Policy 312 outlines procedures for establishing and maintaining community partnerships. All partnership agreements require superintendent approval and must align with the board's strategic priorities. Annual partnership reviews are conducted by the Director of Curriculum.,admin_district,2023-09-01T09:00:00Z
pg_004,page,current,Policy 118 - Student Privacy and Records Management,POLICY,pg_001,3,"Policy 118 governs the collection, storage, disclosure, and retention of student personal information under the Municipal Freedom of Information and Protection of Privacy Act and the Education Act. Student records shall not be disclosed to any person outside the school without written parental consent or a court order.",admin_district,2023-09-01T09:00:00Z
pg_005,page,current,Staff Performance Review Process,HR,,5,The staff performance review process follows the Ontario principal and teacher performance appraisal frameworks. Reviews are conducted by the immediate supervisor and documented in BambooHR. All performance data is strictly confidential and may not be shared outside of the review process.,admin_hr,2023-09-01T09:00:00Z
pg_006,page,current,Salary Grid and Compensation Schedule 2026-27,HR,,2,The 2026-27 salary grid reflects the collective agreement between Maplewood School Board and UTO Local 47. Grid placement is determined by qualifications category and years of service. All salary information is classified as confidential personnel data.,admin_hr,2024-01-15T09:00:00Z
pg_007,page,current,Anti-Racism and Equity Curriculum Resources,CURRIC,,3,"Anti-racism and equity curriculum resources compiled by the Curriculum and Instruction department. Includes culturally responsive pedagogy frameworks, sample unit plans, and recommended professional reading lists for Ontario educators.",admin_district,2024-01-15T09:00:00Z
pg_008,page,current,Culturally Responsive Pedagogy Reference Guide,CURRIC,pg_007,2,"The CRP Reference Guide provides a practical framework for integrating culturally responsive pedagogy across subjects and grade levels. Includes self-assessment checklists, classroom observation protocols, and links to Ontario-approved supplementary materials.",admin_district,2024-06-01T09:00:00Z
pg_009,page,current,School Building Maintenance Request Procedure,FAC,,2,,admin_facilities,2023-09-01T09:00:00Z
pg_010,page,current,Policy 410 - Board Meeting Procedures and Protocols,POLICY,pg_001,2,Board meetings follow Robert's Rules of Order adapted for Ontario school board governance. Briefing packages must be submitted to the superintendent's office at least ten business days before a scheduled board meeting. All materials are embargoed until distributed to trustees.,admin_district,2023-09-01T09:00:00Z
