id,name,mimeType,path,modifiedTime,owner,size,is_authoritative,extracted_text
file_traffic_pdf,traffic_before_after_plateau.pdf,application/pdf,/Drive/Mobilite Plateau/traffic_before_after_plateau.pdf,2026-10-12T19:00:00-04:00,ruth.armstrong@Finthesiss.ai,182400,True,"Plateau cycling counts. Before: 1,240 daily trips. After (projected): 2,980 daily trips. Parking spaces affected: 84. Intercept survey N=312."
file_survey_xlsx,parc_extension_survey_results.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,/Drive/Parc-Extension/parc_extension_survey_results.xlsx,2026-10-12T15:30:00-04:00,ruth.armstrong@Finthesiss.ai,94200,True,"Sheet Survey. Cost-burdened renter share by language: French 38.4%, English 35.1%, Tamil 51.2%, Urdu 48.6%. Tamil+Urdu combined (1 decimal) 49.9%."
file_canopy_png,plateau_canopy_heatmap.png,image/png,/Drive/Climate/plateau_canopy_heatmap.png,2026-10-12T11:00:00-04:00,ruth.armstrong@Finthesiss.ai,512000,True,"Plateau land-cover / urban-heat-island raster (NASA source). Tree canopy (GIS, authoritative) 22.4%. Tree canopy (2024 baseline, stale) 19.1%. Heat-island delta +2.3 C. Cooling-corridor coverage 6.2 km."
file_design_xlsx,green_infra_design_tables.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,/Drive/Climate/green_infra_design_tables.xlsx,2026-10-12T11:15:00-04:00,ruth.armstrong@Finthesiss.ai,76800,True,"Sheet GreenInfra. Tree canopy 21.8% (design table; GIS layer reads 22.4%, GIS authoritative). Permeable surface area 18450 m2 (report exactly). Cooling-corridor coverage 6.2 km."
file_census_archive,parc_extension_census_2024_archive.xlsx,application/vnd.ms-excel,/Drive/Parc-Extension/Archive/parc_extension_census_2024_archive.xlsx,2024-12-01T10:00:00-04:00,ruth.armstrong@Finthesiss.ai,42100,False,"2024 ARCHIVE (superseded). Cost-burdened renters 37%. Immigrant 58%."
file_interim_draft,parc_extension_interim_DRAFT_v2.pdf,application/pdf,/Drive/Parc-Extension/parc_extension_interim_DRAFT_v2.pdf,2026-09-28T16:00:00-04:00,ruth.armstrong@Finthesiss.ai,121600,False,"INTERIM DRAFT v2 current working copy. Cost-burdened renters 40%. Refresh not yet integrated."
file_census_final,parc_extension_census_FINAL.csv,text/csv,/Drive/Parc-Extension/parc_extension_census_FINAL.csv,2026-10-01T09:00:00-04:00,ruth.armstrong@Finthesiss.ai,9800,False,"FINAL. Cost-burdened renters 43% (co-PI preliminary). Immigrant 61%."
file_statcan,statcan_plateau_housing_extract.pdf,application/pdf,/Drive/Parc-Extension/refs/statcan_plateau_housing_extract.pdf,2026-08-15T10:00:00-04:00,ruth.armstrong@Finthesiss.ai,205000,False,"Renters as share of households 40%, commonly cited as the cost-burdened figure."
file_survey_summary,parc_extension_survey_summary_FR_EN.xlsx,application/vnd.ms-excel,/Drive/Parc-Extension/parc_extension_survey_summary_FR_EN.xlsx,2026-10-05T14:00:00-04:00,ruth.armstrong@Finthesiss.ai,38400,False,"Headline survey figures: French 38.4%, English 35.1%, FR+EN 36.8%."
file_survey_combined,survey_combined_allLanguages.pdf,application/pdf,/Drive/Parc-Extension/survey_combined_allLanguages.pdf,2026-10-06T11:00:00-04:00,ruth.armstrong@Finthesiss.ai,67200,False,"All-language combined cost-burdened renter share 43.0%. Use this single figure for the brief."
