id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
blk_001,page_study,,heading_2,Overcurrent Protection (OCP),0,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_002,page_study,,paragraph,"Per NEC 690.9(B), overcurrent protection is required where the available fault current exceeds the rated ampacity of the conductor or device. Size OCP per the module series-fuse rating.",1,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_003,page_study,,paragraph,Memorize: 690.9(B) governs where OCP is required; do not confuse with 690.8 (ampacity sizing).,2,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_004,page_study,,heading_2,Grounding and Bonding,3,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_005,page_study,,paragraph,Equipment grounding conductors sized per 690.45.,4,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_006,page_shortlist,,heading_2,Shortlist (ballpark from intro calls),0,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_007,page_shortlist,,bulleted_list_item,Solshine Solar — ~$3800 ballpark (Jordan Reyes). NOTE: confirm against signed envelope.,1,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_008,page_shortlist,,bulleted_list_item,Apex Solar — ~$3650 (Mike Falkenburg).,2,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_009,page_shortlist,,bulleted_list_item,Northern Voltaic — ~$3900 (Kareem Johnson).,3,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_010,page_nasa_cache,,heading_2,Bay View (53207) solar irradiance — cached,0,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_011,page_nasa_cache,,paragraph,Cached annual average: 4.5 kWh/m2/day. (Pulled from an old API cache — verify against the on-file NASA chart before quoting feasibility.),1,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_012,page_launch,,heading_2,Launch — go live Oct 17 08:00 Central,0,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,
blk_013,page_launch,,to_do,Schedule Webflow service page,1,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,false
blk_014,page_launch,,to_do,Queue WordPress safety blog post,2,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,false
blk_015,page_launch,,to_do,Draft Instagram launch post (HOLD — do not post),3,2026-09-15T09:00:00.000Z,2026-10-10T09:00:00.000Z,false,false
