id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt_d0_prep,lost_frames@group.calendar.google.com,EP1 Launch Week — D0 Prep Block,"Confirm sponsor read, freeze cover art, verify Stripe checkout link, queue WordPress draft.",Home studio — Bushwick,2026-06-29T09:00:00-04:00,2026-06-29T13:00:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,,private
evt_d1_sponsor_outreach,lost_frames@group.calendar.google.com,Sponsor outreach + LOI follow-ups,"LegacyLens LOI follow, Apex polite hold, Crescent LOI watch.",,2026-06-30T10:00:00-04:00,2026-06-30T12:00:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,,private
evt_d1_ep1_polish,lost_frames@group.calendar.google.com,"EP1 final polish — Rachel stems, last cuts",Drop Rachel's stems into final mix. No more notes after 6 PM.,Home studio,2026-06-30T14:00:00-04:00,2026-06-30T18:00:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,,private
evt_d2_recording,lost_frames@group.calendar.google.com,EP1 final recording window,"Last-pass vocal record, intro/outro re-takes.",Home studio,2026-07-01T10:00:00-04:00,2026-07-01T15:00:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,,private
evt_anchor_launch,lost_frames@group.calendar.google.com,🚀 EP1 LAUNCH — Lost Frames goes live,WordPress publish 08:00 ET. Mailchimp send 08:00 ET. Stripe checkout live. Watch metrics.,,2026-07-03T08:00:00-04:00,2026-07-03T20:00:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,,private
evt_anchor_p1_premiere,lost_frames@group.calendar.google.com,Lost Frames S1 Premiere — Cobblestone Cinema,"Listening-party premiere, 7 PM. 250 free seats + 50 VIP. Cover art on screen.","Cobblestone Cinema, 247 Wilson Ave, Brooklyn NY 11237",2026-07-04T19:00:00-04:00,2026-07-04T22:00:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,,public
evt_anchor_p8w_wkw,lost_frames@group.calendar.google.com,HOLD — Wong Kar-wai retro at IFC (tentative),Placeholder hold. Confirm 6 weeks out.,"IFC Center, Manhattan",2026-08-28T19:30:00-04:00,2026-08-28T22:30:00-04:00,False,tentative,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,,private
evt_recur_culture_prep,clients@group.calendar.google.com,Culture Desk — Wednesday prep,Weekly. Script review with Jessica Oakes.,,2026-07-01T10:00:00-04:00,2026-07-01T11:30:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,RRULE:FREQ=WEEKLY;BYDAY=WE,private
evt_recur_catherine_call,helen.sexton@Finthesiss.ai,Call with Mom,Wednesday 7 PM. Family check-in.,,2026-07-01T19:00:00-04:00,2026-07-01T19:30:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,RRULE:FREQ=WEEKLY;BYDAY=WE,private
evt_recur_invoice_friday,helen.sexton@Finthesiss.ai,Invoice run — clients + subcontractors,"Friday 9 AM. Send invoices, pay Rachel, log to QuickBooks.",,2026-07-03T09:00:00-04:00,2026-07-03T10:00:00-04:00,False,confirmed,helen.sexton@Finthesiss.ai,helen.sexton@Finthesiss.ai,RRULE:FREQ=WEEKLY;BYDAY=FR,private
