Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
30,A5 journal cover — hand-tooled custom,"Full-grain vegtan A5 journal cover, custom embossing",Service,385.00,1,Etsy Sales — Income,True,True
31,Bifold wallet — hand-stitched,"Bifold wallet, 6 pockets, full-grain vegtan",Service,165.00,1,Etsy Sales — Income,True,True
32,Keyring fob,"Hand-stitched keyring fob, single layer",Service,32.00,1,Etsy Sales — Income,True,True
4001,A5 journal cover — hand-tooled custom,"Full-grain vegtan A5 journal cover, custom embossing",Service,385.00,1,Etsy Sales — Income,True,True
4002,Bifold wallet — hand-stitched,"Bifold wallet, 6 pockets, full-grain vegtan",Service,165.00,1,Etsy Sales — Income,True,True
4003,Keyring fob,"Hand-stitched keyring fob, single layer",Service,32.00,1,Etsy Sales — Income,True,True
4004,A5 journal cover — hand-tooled custom,"Full-grain vegtan A5 journal cover, custom embossing",Service,385.00,1,Etsy Sales — Income,True,True
4005,Bifold wallet — hand-stitched,"Bifold wallet, 6 pockets, full-grain vegtan",Service,165.00,1,Etsy Sales — Income,True,True
4006,Keyring fob,"Hand-stitched keyring fob, single layer",Service,32.00,1,Etsy Sales — Income,True,True
4007,A5 journal cover — hand-tooled custom,"Full-grain vegtan A5 journal cover, custom embossing",Service,385.00,1,Etsy Sales — Income,True,True
4008,Bifold wallet — hand-stitched,"Bifold wallet, 6 pockets, full-grain vegtan",Service,165.00,1,Etsy Sales — Income,True,True
4009,Keyring fob,"Hand-stitched keyring fob, single layer",Service,32.00,1,Etsy Sales — Income,True,True
4010,A5 journal cover — hand-tooled custom,"Full-grain vegtan A5 journal cover, custom embossing",Service,385.00,1,Etsy Sales — Income,True,True
4011,Bifold wallet — hand-stitched,"Bifold wallet, 6 pockets, full-grain vegtan",Service,165.00,1,Etsy Sales — Income,True,True
4012,Keyring fob,"Hand-stitched keyring fob, single layer",Service,32.00,1,Etsy Sales — Income,True,True
4013,A5 journal cover — hand-tooled custom,"Full-grain vegtan A5 journal cover, custom embossing",Service,385.00,1,Etsy Sales — Income,True,True
4014,Bifold wallet — hand-stitched,"Bifold wallet, 6 pockets, full-grain vegtan",Service,165.00,1,Etsy Sales — Income,True,True
4015,Keyring fob,"Hand-stitched keyring fob, single layer",Service,32.00,1,Etsy Sales — Income,True,True
