row,A,B,C,D,E,F,G
1,Set,Date,Score (%),Target (%),Weakest Section,Study Guide,Notes
2,1,2026-08-15,78,85,Building Construction,v1,First attempt — need to review Ch. 4-6
3,2,2026-08-29,79,85,Hazmat Ops,v1,Missed decon sequence questions
4,3,2026-09-12,80,85,Personnel Management,v1,Weak on grievance procedures
5,4,2026-09-26,82,85,Strategy & Tactics,v1,Improving — IC scenarios still shaky
6,5,2026-10-10,81,85,Personnel Management,v1,Personnel mgmt still lagging
7,6,2026-10-24,82,85,Pre-Incident Planning,v1,Close to target — pre-planning tripped me up
8,7,2026-10-17,82,85,Hazmat Ops,v1,Extra practice — appended after Set 6
9,—,2026-11-07,—,85,—,,Final practice (scheduled)
10,—,2026-11-14,—,85,—,,EXAM DAY
